"n_per_group","strategy","rate"
10,"F",0.0273333333333333
10,"W",0.025
10,"KW",0.0966666666666667
10,"SW rejects normality",0.971333333333333
30,"F",0.0263333333333333
30,"W",0.0336666666666667
30,"KW",0.236333333333333
30,"SW rejects normality",1
100,"F",0.0286666666666667
100,"W",0.04
100,"KW",0.712333333333333
100,"SW rejects normality",1
300,"F",0.0316666666666667
300,"W",0.034
300,"KW",0.996666666666667
300,"SW rejects normality",1
1000,"F",0.0246666666666667
1000,"W",0.0343333333333333
1000,"KW",1
1000,"SW rejects normality",1
