"scaling","design","panel","skew","excess_kurtosis","shift_scale","group_mean_offsets","sd_per_group","omega_sq","eta_h_sq","eta_h_sq_mc","eta_h_sq_mc_se"
"legacy","balanced n, equal SD",1,0,0,1,"0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0",0.072463768115942,0.0703127284997955,0.0693414932884244,0.000820444436242401
"legacy","balanced n, equal SD",2,0,6,1,"0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0",0.072463768115942,0.106954248405173,0.108049653817288,0.000932513768283232
"legacy","balanced n, equal SD",3,0.5,1,1,"0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0",0.072463768115942,0.0773866484080326,0.0762810330398491,0.00103128379831029
"legacy","balanced n, equal SD",4,1,1.6,1,"0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0",0.072463768115942,0.083542287325664,0.0831151171589344,0.00117108307997816
"legacy","balanced n, equal SD",5,2,6.6,1,"0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0",0.072463768115942,0.127139057230257,0.128022548969389,0.00116262594060174
"legacy","unbalanced n, equal SD",1,0,0,1,"0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0",0.0626487495880781,0.0603885954781165,0.0596703699586786,0.000574630009848484
"legacy","unbalanced n, equal SD",2,0,6,1,"0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0",0.0626487495880781,0.0923394228761794,0.0934888975134211,0.00136665015919734
"legacy","unbalanced n, equal SD",3,0.5,1,1,"0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0",0.0626487495880781,0.06652174480468,0.0672492549407906,0.000461221630564162
"legacy","unbalanced n, equal SD",4,1,1.6,1,"0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0",0.0626487495880781,0.0718883571626583,0.0702467249400728,0.000964335493832992
"legacy","unbalanced n, equal SD",5,2,6.6,1,"0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0",0.0626487495880781,0.1104773740561,0.111178124278821,0.000829052821601541
"legacy","balanced n, unequal SD",1,0,0,1.6140012391569,"0.0000, 0.4035, 0.8070, 1.2105","1.0, 1.3, 1.7, 2.2",0.072463768115942,0.071463528579592,0.0723868936822917,0.00109787759575617
"legacy","balanced n, unequal SD",2,0,6,1.6140012391569,"0.0000, 0.4035, 0.8070, 1.2105","1.0, 1.3, 1.7, 2.2",0.072463768115942,0.114293837747032,0.116148044764681,0.000718947681773685
"legacy","balanced n, unequal SD",3,0.5,1,1.6140012391569,"0.0000, 0.4035, 0.8070, 1.2105","1.0, 1.3, 1.7, 2.2",0.072463768115942,0.0678144210318321,0.0674570010743468,0.00104684523338346
"legacy","balanced n, unequal SD",4,1,1.6,1.6140012391569,"0.0000, 0.4035, 0.8070, 1.2105","1.0, 1.3, 1.7, 2.2",0.072463768115942,0.0563212967514377,0.0564805683303768,0.000744992368865376
"legacy","balanced n, unequal SD",5,2,6.6,1.6140012391569,"0.0000, 0.4035, 0.8070, 1.2105","1.0, 1.3, 1.7, 2.2",0.072463768115942,0.067418294425663,0.0666728285622433,0.00106649458813721
"legacy","unbalanced n, larger n with larger SD",1,0,0,1.6140012391569,"0.0000, 0.4035, 0.8070, 1.2105","1.0, 1.3, 1.7, 2.2",0.0524561530593072,0.0569740715998986,0.0573376271340424,0.000706520220155046
"legacy","unbalanced n, larger n with larger SD",2,0,6,1.6140012391569,"0.0000, 0.4035, 0.8070, 1.2105","1.0, 1.3, 1.7, 2.2",0.0524561530593072,0.0914920876679976,0.09150229154647,0.000887505844420058
"legacy","unbalanced n, larger n with larger SD",3,0.5,1,1.6140012391569,"0.0000, 0.4035, 0.8070, 1.2105","1.0, 1.3, 1.7, 2.2",0.0524561530593072,0.0534963939306984,0.0545316712069382,0.000707816280473665
"legacy","unbalanced n, larger n with larger SD",4,1,1.6,1.6140012391569,"0.0000, 0.4035, 0.8070, 1.2105","1.0, 1.3, 1.7, 2.2",0.0524561530593072,0.0436863531522664,0.0437603352053517,0.000413146320485967
"legacy","unbalanced n, larger n with larger SD",5,2,6.6,1.6140012391569,"0.0000, 0.4035, 0.8070, 1.2105","1.0, 1.3, 1.7, 2.2",0.0524561530593072,0.0508815426115877,0.0508110763273624,0.000822366369812307
"legacy","unbalanced n, larger n with smaller SD",1,0,0,1.6140012391569,"0.0000, 0.4035, 0.8070, 1.2105","2.2, 1.7, 1.3, 1.0",0.0777575922885713,0.0677959982441542,0.0683617299445638,0.000687857893222721
"legacy","unbalanced n, larger n with smaller SD",2,0,6,1.6140012391569,"0.0000, 0.4035, 0.8070, 1.2105","2.2, 1.7, 1.3, 1.0",0.0777575922885713,0.10836694959588,0.10819358399898,0.00125298108847484
"legacy","unbalanced n, larger n with smaller SD",3,0.5,1,1.6140012391569,"0.0000, 0.4035, 0.8070, 1.2105","2.2, 1.7, 1.3, 1.0",0.0777575922885713,0.0861690711883295,0.0850757304511138,0.0010190628554515
"legacy","unbalanced n, larger n with smaller SD",4,1,1.6,1.6140012391569,"0.0000, 0.4035, 0.8070, 1.2105","2.2, 1.7, 1.3, 1.0",0.0777575922885713,0.102931260094557,0.102419011858828,0.00120930885324818
"legacy","unbalanced n, larger n with smaller SD",5,2,6.6,1.6140012391569,"0.0000, 0.4035, 0.8070, 1.2105","2.2, 1.7, 1.3, 1.0",0.0777575922885713,0.160124641501659,0.159035042000816,0.000905919247555066
