"scaling","design","panel","skew","excess_kurtosis","shift_scale","group_mean_offsets","sd_per_group","omega_sq","eta_h_sq","eta_h_sq_mc","eta_h_sq_mc_se"
"typeI","balanced n, equal SD",1,0,0,0,"0.00, 0.00, 0.00, 0.00","1.0, 1.0, 1.0, 1.0",0,9.6179400678743e-27,-3.23573055541715e-05,1.28067708428499e-05
"typeI","balanced n, equal SD",2,0,6,0,"0.00, 0.00, 0.00, 0.00","1.0, 1.0, 1.0, 1.0",0,9.6179400678743e-27,1.09031300210787e-05,1.96323354769784e-05
"typeI","balanced n, equal SD",3,0.5,1,0,"0.00, 0.00, 0.00, 0.00","1.0, 1.0, 1.0, 1.0",0,9.6179400678743e-27,1.5038862878669e-05,1.89765652298333e-05
"typeI","balanced n, equal SD",4,1,1.6,0,"0.00, 0.00, 0.00, 0.00","1.0, 1.0, 1.0, 1.0",0,9.6179400678743e-27,9.69808686828388e-06,2.0266592211784e-05
"typeI","balanced n, equal SD",5,2,6.6,0,"0.00, 0.00, 0.00, 0.00","1.0, 1.0, 1.0, 1.0",0,9.6179400678743e-27,-3.32773687653456e-05,1.58208777090817e-05
"typeI","unbalanced n, equal SD",1,0,0,0,"0.00, 0.00, 0.00, 0.00","1.0, 1.0, 1.0, 1.0",0,9.6179400678743e-27,-2.99079285998753e-05,1.44426885546316e-05
"typeI","unbalanced n, equal SD",2,0,6,0,"0.00, 0.00, 0.00, 0.00","1.0, 1.0, 1.0, 1.0",0,9.6179400678743e-27,3.6316315760707e-05,2.05571027737449e-05
"typeI","unbalanced n, equal SD",3,0.5,1,0,"0.00, 0.00, 0.00, 0.00","1.0, 1.0, 1.0, 1.0",0,9.6179400678743e-27,-3.83095909156358e-05,1.12921418254217e-05
"typeI","unbalanced n, equal SD",4,1,1.6,0,"0.00, 0.00, 0.00, 0.00","1.0, 1.0, 1.0, 1.0",0,9.6179400678743e-27,-1.2656074619418e-05,1.42859182889157e-05
"typeI","unbalanced n, equal SD",5,2,6.6,0,"0.00, 0.00, 0.00, 0.00","1.0, 1.0, 1.0, 1.0",0,9.6179400678743e-27,-5.00756643210923e-05,7.75198311575598e-06
"typeI","balanced n, unequal SD",1,0,0,0,"0.00, 0.00, 0.00, 0.00","1.0, 1.3, 1.7, 2.2",0,7.67699095140876e-27,7.29704271976957e-06,3.44960594138539e-05
"typeI","balanced n, unequal SD",2,0,6,0,"0.00, 0.00, 0.00, 0.00","1.0, 1.3, 1.7, 2.2",0,7.5713821977223e-27,-2.72454537831935e-06,1.30631465302029e-05
"typeI","balanced n, unequal SD",3,0.5,1,0,"0.00, 0.00, 0.00, 0.00","1.0, 1.3, 1.7, 2.2",0,0.000794485032101918,0.000822278102130731,0.00013319645660573
"typeI","balanced n, unequal SD",4,1,1.6,0,"0.00, 0.00, 0.00, 0.00","1.0, 1.3, 1.7, 2.2",0,0.0041864111550019,0.00408563976057108,0.000192176258464558
"typeI","balanced n, unequal SD",5,2,6.6,0,"0.00, 0.00, 0.00, 0.00","1.0, 1.3, 1.7, 2.2",0,0.0176453713079521,0.0178942766815763,0.000452813834911092
"typeI","unbalanced n, larger n with larger SD",1,0,0,0,"0.00, 0.00, 0.00, 0.00","1.0, 1.3, 1.7, 2.2",0,6.77951530104409e-27,-1.3944907051456e-05,1.468348585897e-05
"typeI","unbalanced n, larger n with larger SD",2,0,6,0,"0.00, 0.00, 0.00, 0.00","1.0, 1.3, 1.7, 2.2",0,8.7368354383345e-27,-2.38078174694396e-05,1.15147649043727e-05
"typeI","unbalanced n, larger n with larger SD",3,0.5,1,0,"0.00, 0.00, 0.00, 0.00","1.0, 1.3, 1.7, 2.2",0,0.000687733521731611,0.000552107995830739,8.94700595365273e-05
"typeI","unbalanced n, larger n with larger SD",4,1,1.6,0,"0.00, 0.00, 0.00, 0.00","1.0, 1.3, 1.7, 2.2",0,0.00364708705231218,0.00359668261701909,0.000109657101954395
"typeI","unbalanced n, larger n with larger SD",5,2,6.6,0,"0.00, 0.00, 0.00, 0.00","1.0, 1.3, 1.7, 2.2",0,0.0155163637040047,0.0157688742376703,0.00048727912348119
"typeI","unbalanced n, larger n with smaller SD",1,0,0,0,"0.00, 0.00, 0.00, 0.00","2.2, 1.7, 1.3, 1.0",0,8.61113938940248e-27,-9.07144735672881e-06,1.68794963207771e-05
"typeI","unbalanced n, larger n with smaller SD",2,0,6,0,"0.00, 0.00, 0.00, 0.00","2.2, 1.7, 1.3, 1.0",0,9.94294305710558e-27,-1.53795372189054e-05,1.48816005399381e-05
"typeI","unbalanced n, larger n with smaller SD",3,0.5,1,0,"0.00, 0.00, 0.00, 0.00","2.2, 1.7, 1.3, 1.0",0,0.000691370649046835,0.000568960847575461,9.55826015187653e-05
"typeI","unbalanced n, larger n with smaller SD",4,1,1.6,0,"0.00, 0.00, 0.00, 0.00","2.2, 1.7, 1.3, 1.0",0,0.0036662856677323,0.00355567963444259,0.00028352215927814
"typeI","unbalanced n, larger n with smaller SD",5,2,6.6,0,"0.00, 0.00, 0.00, 0.00","2.2, 1.7, 1.3, 1.0",0,0.0155963254798058,0.0153563535015815,0.000232671386837024
