"design_set","design","omega_sq_regime","effect_size","shift_scale","omega_sq","group_mean_offsets","sd_per_group","n_vector","n_per_group","distribution","panel","skew","excess_kurtosis","fisher_power","welch_power","mean_power","rank_power","sw_power","gate_power","fisher_mc_se","welch_mc_se","mean_mc_se","rank_mc_se","sw_mc_se","gate_mc_se","route_fisher_probability","route_welch_probability","route_rank_probability"
"brunner","balanced n, unequal SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.0301146298814844,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","10, 10, 10, 10",10,"normal",1,0,0,0.1159,0.11616,0.12378,0.10488,0.12036,0.12834,0.00143155293300667,0.00143294699413481,0.00147281031772595,0.00137025680512815,0.00145515270951196,0.00149578637779597,0.49032,0.39588,0.1138
"brunner","balanced n, unequal SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.0301146298814844,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","10, 10, 10, 10",10,"F.P.",2,0,6,0.12404,0.1275,0.12868,0.15288,0.15368,0.16032,0.00147413756752889,0.00149160148833393,0.00149747425754168,0.00160939557349957,0.00161283884873846,0.00164083818580627,0.31048,0.1362,0.55332
"brunner","balanced n, unequal SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.0301146298814844,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","10, 10, 10, 10",10,"F.P.",3,0.5,1,0.11022,0.10476,0.11306,0.0941,0.10786,0.1157,0.00140051098960344,0.00136956447383831,0.00141617397518808,0.00130571964831659,0.00138727229050392,0.00143047901068139,0.42704,0.31326,0.2597
"brunner","balanced n, unequal SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.0301146298814844,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","10, 10, 10, 10",10,"F.P.",4,1,1.6,0.1005,0.09174,0.09802,0.07346,0.09074,0.09616,0.00134461704585358,0.00129092038794033,0.00132975245515848,0.00116673586042429,0.00128457193181231,0.00131843281512559,0.28918,0.2746,0.43622
"brunner","balanced n, unequal SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.0301146298814844,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","10, 10, 10, 10",10,"F.P.",5,2,6.6,0.09006,0.08142,0.08094,0.063,0.07376,0.07546,0.00128022807655511,0.00122303543366495,0.00121974355009567,0.0010865633897753,0.00116892653661383,0.00118123484879172,0.06178,0.0944,0.84382
"brunner","balanced n, unequal SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.0301146298814844,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","20, 20, 20, 20",20,"normal",1,0,0,0.1954,0.21452,0.21516,0.18866,0.2201,0.22088,0.00177323907017638,0.0018357623462747,0.00183774957162286,0.00174967085133176,0.00185286799313928,0.00185521980153296,0.15178,0.66544,0.18278
"brunner","balanced n, unequal SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.0301146298814844,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","20, 20, 20, 20",20,"F.P.",2,0,6,0.20426,0.24286,0.23098,0.30176,0.30624,0.3064,0.00180298559284316,0.00191770185586811,0.00188482487037921,0.00205280735774207,0.00206134452433357,0.00206164516830613,0.0658,0.07658,0.85762
"brunner","balanced n, unequal SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.0301146298814844,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","20, 20, 20, 20",20,"F.P.",3,0.5,1,0.18546,0.20014,0.19922,0.15624,0.18394,0.18416,0.00173818634444066,0.00178932378512107,0.00178623286051959,0.00162375529190824,0.00173266313171372,0.00173346528318279,0.126,0.40426,0.46974
"brunner","balanced n, unequal SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.0301146298814844,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","20, 20, 20, 20",20,"F.P.",4,1,1.6,0.17462,0.18332,0.184,0.1103,0.1313,0.13184,0.00169780950403748,0.00173039751271204,0.00173288199251998,0.00140095617347582,0.00151036624697455,0.00151299844282802,0.04562,0.18792,0.76646
"brunner","balanced n, unequal SD","het","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.0301146298814844,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","20, 20, 20, 20",20,"F.P.",5,2,6.6,0.16088,0.1758,0.17394,0.0836,0.08492,0.08494,0.00164315322231373,0.00170231818412423,0.00169519837423235,0.00123782906735946,0.00124666429803697,0.00124679746871735,0.00068,0.00522,0.9941
