"design_set","design","omega_sq_regime","effect_size","shift_scale","omega_sq","group_mean_offsets","sd_per_group","n_vector","n_per_group","distribution","panel","skew","excess_kurtosis","fisher_power","welch_power","mean_power","rank_power","sw_power","gate_power","fisher_mc_se","welch_mc_se","mean_mc_se","rank_mc_se","sw_mc_se","gate_mc_se","route_fisher_probability","route_welch_probability","route_rank_probability"
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 0.50",1,0.0447761194029851,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","10, 10, 10, 10",10,"normal",1,0,0,0.1674,0.158,0.17122,0.14862,0.15954,0.173,0.00166959420219405,0.00163117135825762,0.00168465849120823,0.00159079914256955,0.00163760183439077,0.00169157323223087,0.88854,0.0632,0.04826
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 0.50",1,0.0447761194029851,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","10, 10, 10, 10",10,"F.P.",2,0,6,0.18244,0.18572,0.18638,0.22352,0.21814,0.22794,0.00172716905020904,0.00173912668658727,0.00174150794198591,0.0018631092807455,0.00184691602624483,0.00187607759114595,0.50618,0.04824,0.44558
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 0.50",1,0.0447761194029851,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","10, 10, 10, 10",10,"F.P.",3,0.5,1,0.16592,0.15874,0.16952,0.15692,0.16612,0.17766,0.00166367396805985,0.00163426810774732,0.00167799266744524,0.00162662911322772,0.00166447676823679,0.00170936786210576,0.7582,0.06518,0.17662
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 0.50",1,0.0447761194029851,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","10, 10, 10, 10",10,"F.P.",4,1,1.6,0.16824,0.16734,0.17222,0.16896,0.18116,0.1896,0.00167293336627613,0.00166935511141279,0.00168855128201663,0.00167578350869079,0.00172244625112077,0.00175300792924619,0.4896,0.07428,0.43612
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 0.50",1,0.0447761194029851,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","10, 10, 10, 10",10,"F.P.",5,2,6.6,0.18094,0.20358,0.19164,0.26032,0.26506,0.26716,0.00172163129850732,0.00180075086339005,0.00176019379842107,0.00196241431711043,0.00197384496047689,0.00197881547598557,0.08022,0.04422,0.87556
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 0.50",1,0.0447761194029851,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","20, 20, 20, 20",20,"normal",1,0,0,0.32594,0.31248,0.32704,0.30156,0.31456,0.32848,0.00209620188149901,0.0020728543103653,0.00209802210855844,0.00205242084573316,0.00207659339496205,0.00210038515325166,0.89716,0.05452,0.04832
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 0.50",1,0.0447761194029851,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","20, 20, 20, 20",20,"F.P.",2,0,6,0.34748,0.35552,0.35146,0.46224,0.45606,0.4612,0.00212949594787123,0.0021406799368425,0.00213511530555144,0.00222968240967183,0.00222741678363076,0.00222932527909231,0.23656,0.01684,0.7466
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 0.50",1,0.0447761194029851,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","20, 20, 20, 20",20,"F.P.",3,0.5,1,0.32294,0.3195,0.32588,0.32952,0.33696,0.34334,0.00209117075534257,0.00208528055666378,0.00209610221888151,0.00210207787486572,0.00211384937211713,0.00212347660406231,0.6357,0.04762,0.31668
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 0.50",1,0.0447761194029851,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","20, 20, 20, 20",20,"F.P.",4,1,1.6,0.32138,0.32628,0.3266,0.35692,0.36426,0.36518,0.0020885157198355,0.00209676589823471,0.00209729559194692,0.00214255974759165,0.00215209039029498,0.00215324670021807,0.15852,0.02486,0.81662
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 0.50",1,0.0447761194029851,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","20, 20, 20, 20",20,"F.P.",5,2,6.6,0.33684,0.3779,0.35604,0.56886,0.56884,0.56888,0.00211366418524798,0.00216837077087845,0.00214138048183876,0.0022147609369862,0.00221477337170194,0.0022147484985885,5e-04,0.00072,0.99878
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 0.50",1,0.0447761194029851,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","30, 30, 30, 30",30,"normal",1,0,0,0.47528,0.46152,0.47522,0.4484,0.46272,0.47594,0.00223333347980099,0.00222943620496304,0.00223332018125481,0.00222412877325033,0.00222984394790308,0.00223347763096029,0.89704,0.05384,0.04912
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 0.50",1,0.0447761194029851,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","30, 30, 30, 30",30,"F.P.",2,0,6,0.48914,0.50262,0.49272,0.65842,0.6542,0.65568,0.00223554047335314,0.00223603727875901,0.00223583094888679,0.00212086352036146,0.00212707479887286,0.00212491758710779,0.09922,0.00624,0.89454
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 0.50",1,0.0447761194029851,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","30, 30, 30, 30",30,"F.P.",3,0.5,1,0.47156,0.47452,0.475,0.49132,0.497,0.50002,0.0022324478332091,0.00223316264342748,0.00223327114341273,0.00223573101065401,0.00223602772791395,0.00223606797571094,0.51614,0.03752,0.44634
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 0.50",1,0.0447761194029851,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","30, 30, 30, 30",30,"F.P.",4,1,1.6,0.47742,0.49014,0.4835,0.53556,0.53716,0.53696,0.00223378666662687,0.00223563315595381,0.00223485010683043,0.00223040573169995,0.00222988400774569,0.00222995048554895,0.03602,0.00562,0.95836
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 0.50",1,0.0447761194029851,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","30, 30, 30, 30",30,"F.P.",5,2,6.6,0.48758,0.54426,0.50888,0.7926,0.7926,0.7926,0.00223537801545958,0.00222729006822192,0.00223571530209014,0.00181320291197648,0.00181320291197648,0.00181320291197648,0,0,1
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 0.50",1,0.0447761194029851,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","50, 50, 50, 50",50,"normal",1,0,0,0.71968,0.71276,0.7198,0.6931,0.71234,0.71898,0.0020086846322905,0.00202352752588147,0.00200842206719604,0.00206258279833804,0.00202440966407494,0.00201021272307186,0.89782,0.05214,0.05004
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 0.50",1,0.0447761194029851,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","50, 50, 50, 50",50,"F.P.",2,0,6,0.7293,0.7321,0.73064,0.89058,0.89012,0.89012,0.00198706572613993,0.00198055340751013,0.00198396164479054,0.0013960463000918,0.00139861635626072,0.00139861635626072,0.01408,0.00068,0.98524
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 0.50",1,0.0447761194029851,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","50, 50, 50, 50",50,"F.P.",3,0.5,1,0.72194,0.73058,0.72434,0.75104,0.7528,0.75248,0.00200370974145459,0.00198410112443897,0.00199835714725872,0.0019337989471504,0.00192920792036525,0.00193004585230507,0.33534,0.02246,0.6422
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 0.50",1,0.0447761194029851,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","50, 50, 50, 50",50,"F.P.",4,1,1.6,0.72664,0.75022,0.7328,0.7998,0.79982,0.79988,0.00199315985510445,0.00193592330219975,0.00197890959874371,0.0017895248531384,0.00178945783744686,0.00178925674848525,9e-04,0.00032,0.99878
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 0.50",1,0.0447761194029851,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","50, 50, 50, 50",50,"F.P.",5,2,6.6,0.7302,0.78934,0.7483,0.96698,0.96698,0.96698,0.0019849834256235,0.00182363573336344,0.00194086120060142,0.000799120511562556,0.000799120511562556,0.000799120511562556,0,0,1
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 0.50",1,0.0447761194029851,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","100, 100, 100, 100",100,"normal",1,0,0,0.96308,0.96112,0.96322,0.95502,0.96102,0.96314,0.000843290146983824,0.000864503853085688,0.000841750932283416,0.000926895890593976,0.000865569865464366,0.000842630884788826,0.89882,0.04956,0.05162
"brunner","balanced n, equal SD","bal","one-point alternative: last group shifted by 0.50",1,0.0447761194029851,"0.00, 0.00, 0.00, 0.50","1.0, 1.0, 1.0, 1.0","100, 100, 100, 100",100,"F.P.",2,0,6,0.96186,0.95918,0.96148,0.99658,0.99658,0.99658,0.000856566873046115,0.000884914997047739,0.00086065335182058,0.000261086330549877,0.000261086330549877,0.000261086330549877,6e-05,0,0.99994
