"design","effect_size","shift_scale","eta_h_sq","omega_sq","group_mean_offsets","sd_per_group","n_vector","n_per_group","distribution","panel","skew","excess_kurtosis","fisher_power","welch_power","mean_power","rank_power","sw_power","gate_power","fisher_mc_se","welch_mc_se","mean_mc_se","rank_mc_se","sw_mc_se","gate_mc_se","route_fisher_probability","route_welch_probability","route_rank_probability"
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.999999503783974,0.0708730481335658,0.072463701411846,"0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","10, 10, 10, 10",10,"normal",1,0,0,0.26202,0.24182,0.26526,0.23398,0.2441,0.26758,0.00196654783618401,0.00191490515483143,0.00197432080675862,0.001893321734941,0.00192101634558376,0.00197980273562797,0.88466,0.0656,0.04974
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.793517585748508,0.070870910827325,0.0468864947122487,"0.0000, 0.1984, 0.3968, 0.5951","1.0, 1.0, 1.0, 1.0","10, 10, 10, 10",10,"F.P.",2,0,6,0.18908,0.1898,0.19468,0.23198,0.22364,0.23598,0.0017511639192263,0.00175371582646676,0.00177076083986517,0.00188767200328871,0.00186346532245706,0.00189891252879115,0.50888,0.04546,0.44566
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.953426151223152,0.070873620905545,0.066308265017592,"0.0000, 0.2384, 0.4767, 0.7151","1.0, 1.0, 1.0, 1.0","10, 10, 10, 10",10,"F.P.",3,0.5,1,0.24314,0.23064,0.24632,0.23346,0.2407,0.25806,0.00191845219069958,0.00188385344652921,0.00192689624837457,0.00189185849576547,0.00191187609431155,0.00195685991527242,0.75976,0.06648,0.17376
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.914130079039433,0.0708735430348839,0.0612830920494916,"0.0000, 0.2285, 0.4571, 0.6856","1.0, 1.0, 1.0, 1.0","10, 10, 10, 10",10,"F.P.",4,1,1.6,0.23038,0.2246,0.23392,0.23734,0.2464,0.25842,0.00188310942645402,0.00186630565556663,0.00189315310315885,0.00190268086866926,0.00192710684706375,0.00195774923624043,0.49162,0.07372,0.43466
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.704714767654588,0.0708716682736686,0.0373495516376855,"0.0000, 0.1762, 0.3524, 0.5285","1.0, 1.0, 1.0, 1.0","10, 10, 10, 10",10,"F.P.",5,2,6.6,0.15772,0.1784,0.16428,0.2322,0.23608,0.23764,0.00162999632883022,0.00171215326416767,0.00165705812571557,0.00188829637504286,0.00189919053072618,0.00190350849958701,0.07908,0.04458,0.87634
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.999999503783974,0.0708730481335658,0.072463701411846,"0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","20, 20, 20, 20",20,"normal",1,0,0,0.50972,0.49278,0.51118,0.47908,0.49516,0.51274,0.0022356454173236,0.00223583484005416,0.00223550892460755,0.00223410990598046,0.00223596321257752,0.00223534199799494,0.89592,0.0547,0.04938
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.793517585748508,0.070870910827325,0.0468864947122487,"0.0000, 0.1984, 0.3968, 0.5951","1.0, 1.0, 1.0, 1.0","20, 20, 20, 20",20,"F.P.",2,0,6,0.3532,0.37032,0.35824,0.48506,0.4771,0.48078,0.00213752080691627,0.0021595513311797,0.00214431388747077,0.0022350695577543,0.00223372151352849,0.00223441532218162,0.23874,0.01634,0.74492
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.953426151223152,0.070873620905545,0.066308265017592,"0.0000, 0.2384, 0.4767, 0.7151","1.0, 1.0, 1.0, 1.0","20, 20, 20, 20",20,"F.P.",3,0.5,1,0.47422,0.4667,0.47696,0.48712,0.49,0.50062,0.00223309378038631,0.00223110335932695,0.00223369272013856,0.00223532595207053,0.00223562071917398,0.00223606625841007,0.63216,0.04818,0.31966
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.914130079039433,0.0708735430348839,0.0612830920494916,"0.0000, 0.2285, 0.4571, 0.6856","1.0, 1.0, 1.0, 1.0","20, 20, 20, 20",20,"F.P.",4,1,1.6,0.44276,0.43338,0.44432,0.48416,0.48824,0.49224,0.0022213670673709,0.00221613075246024,0.00222215992943802,0.0022349456118662,0.00223544940627159,0.00223579865998707,0.15984,0.02574,0.81442
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD (eta_H^2 fixed)",0.704714767654588,0.0708716682736686,0.0373495516376855,"0.0000, 0.1762, 0.3524, 0.5285","1.0, 1.0, 1.0, 1.0","20, 20, 20, 20",20,"F.P.",5,2,6.6,0.28964,0.30868,0.29374,0.48724,0.48732,0.48734,0.00202853972305203,0.00206589766251864,0.0020369428681237,0.0022353397164637,0.00223534882110153,0.00223535108830805,0.00068,0.00064,0.99868
