"design","effect_size","shift_scale","omega_sq","group_mean_offsets","sd_per_group","n_vector","n_per_group","distribution","panel","skew","excess_kurtosis","fisher_power","welch_power","mean_power","rank_power","sw_power","gate_power","fisher_mc_se","welch_mc_se","mean_mc_se","rank_mc_se","sw_mc_se","gate_mc_se","route_fisher_probability","route_welch_probability","route_rank_probability"
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.072463768115942,"0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","10, 10, 10, 10",10,"normal",1,0,0,0.2596,0.2393,0.26318,0.23194,0.24154,0.2647,0.00196065213640768,0.00190806451672893,0.0019693465291817,0.00188755840386463,0.00191414956782379,0.00197298712616175,0.88816,0.0638,0.04804
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.072463768115942,"0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","10, 10, 10, 10",10,"F.P.",2,0,6,0.287,0.29098,0.29438,0.35178,0.3406,0.35518,0.00202302249122445,0.00203130814796771,0.00203823656919407,0.00213556002772107,0.00211939444181587,0.00214022039799643,0.51052,0.04706,0.44242
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.072463768115942,"0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","10, 10, 10, 10",10,"F.P.",3,0.5,1,0.264,0.2489,0.26766,0.25342,0.26044,0.2797,0.00197131428240146,0.00193364314184391,0.00197999052725007,0.00194524190577933,0.00196270734649871,0.00200732613194767,0.7608,0.06554,0.17366
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.072463768115942,"0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","10, 10, 10, 10",10,"F.P.",4,1,1.6,0.2635,0.25452,0.26684,0.27084,0.27946,0.29338,0.00197011547884889,0.00194802243108235,0.00197806175030003,0.00198738871084647,0.00200679898544922,0.00203621303207695,0.49398,0.0727,0.43332
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.072463768115942,"0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","10, 10, 10, 10",10,"F.P.",5,2,6.6,0.28792,0.3117,0.29806,0.42158,0.4229,0.42686,0.0020249546839374,0.00207143964430538,0.0020455817578381,0.00220839445570758,0.00220932383321232,0.00221201510121428,0.08244,0.04368,0.87388
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.072463768115942,"0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","20, 20, 20, 20",20,"normal",1,0,0,0.51778,0.49804,0.51976,0.4862,0.49984,0.52088,0.00223465376110036,0.0022360507972763,0.00223432111568593,0.002235216141674,0.00223606786301311,0.00223411738993277,0.899,0.05392,0.04708
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.072463768115942,"0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","20, 20, 20, 20",20,"F.P.",2,0,6,0.53632,0.55842,0.5427,0.69818,0.6874,0.68966,0.00223016079061578,0.00222075259135276,0.00222789905516386,0.00205292322116537,0.00207307134464784,0.00206895666653509,0.23654,0.01596,0.7475
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.072463768115942,"0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","20, 20, 20, 20",20,"F.P.",3,0.5,1,0.52052,0.50996,0.5233,0.52902,0.5321,0.54278,0.00223418409984495,0.0022356242904388,0.00223363878010747,0.00223229854454999,0.00223145508581284,0.00222786836056352,0.63622,0.04754,0.31624
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.072463768115942,"0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","20, 20, 20, 20",20,"F.P.",4,1,1.6,0.51894,0.51212,0.52146,0.5653,0.56898,0.5719,0.00223446314089089,0.00223541094924401,0.00223400746820596,0.00221691637190039,0.00221468625136835,0.00221282800958412,0.15936,0.02602,0.81462
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD",1,0.072463768115942,"0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","20, 20, 20, 20",20,"F.P.",5,2,6.6,0.54226,0.55696,0.55042,0.78346,0.78348,0.78348,0.00222806684100814,0.00222151101010101,0.00222466996923139,0.00184201209768014,0.00184195054005258,0.00184195054005258,0.00066,0.00068,0.99866
