"design","scenario","effect_size","group_mean_offsets","sd_per_group","shift_scale","n_vector","distribution","panel","skew","excess_kurtosis","n_per_group","groups","resid_skewness","resid_excess_kurtosis","fisher_power","fisher_mc_se","welch_power","welch_mc_se","mean_power","mean_mc_se","rank_power","rank_mc_se","sw_power","sw_mc_se","gate_power","gate_mc_se","sw_route_welch_probability","sw_route_welch_mc_se","sw_route_rank_probability","sw_route_rank_mc_se","route_rank_probability","route_rank_mc_se","route_fisher_probability","route_fisher_mc_se","route_welch_probability","route_welch_mc_se","mean_route_fisher_probability","mean_route_fisher_mc_se","mean_route_welch_probability","mean_route_welch_mc_se","levene_reject_probability","levene_reject_mc_se","skew_label","n_label"
"balanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0",1,"10, 10, 10, 10","normal",1,0,0,10,4,-0.00419514888930978,-0.159716789256604,0.25906,0.00195932598819084,0.238,0.00190449993436597,0.26248,0.00196765977546933,0.23336,0.00189157664608125,0.24072,0.00191193034182734,0.26458,0.00197270080650868,0.95078,0.000967443968403339,0.04922,0.000967443968403339,0.04922,0.000967443968403339,0.88942,0.00140251248550592,0.06136,0.0010732655812985,0.93648,0.00109073561966225,0.06352,0.00109073561966225,0.06352,0.00109073561966225,"Normal distribution
skew = 0; excess kurtosis = 0","n = 10"
"balanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0",1,"10, 10, 10, 10","F.P.",2,0,6,10,4,0.000194169705426133,1.96074314397895,0.28962,0.00202849824057109,0.2982,0.0020458580595926,0.29738,0.00204423646186052,0.36128,0.00214828658051015,0.34744,0.00212943864152034,0.3606,0.00214740606313757,0.55742,0.00222127415507406,0.44258,0.00222127415507406,0.44258,0.00222127415507406,0.5105,0.00223557487013967,0.04692,0.000945711516266985,0.91446,0.00125078302195065,0.08554,0.00125078302195065,0.08554,0.00125078302195065,"F.P.
skew = 0
excess kurtosis = 6","n = 10"
"balanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0",1,"10, 10, 10, 10","F.P.",3,0.5,1,10,4,0.343391077421938,0.310546159100983,0.26462,0.00197279626723086,0.25088,0.00193875849759582,0.26914,0.00198344982492626,0.25436,0.00194761900997089,0.26102,0.00196412097183447,0.28022,0.00200846584038664,0.82906,0.00168356476798489,0.17094,0.00168356476798489,0.17094,0.00168356476798489,0.76052,0.00190855615374555,0.06854,0.0011299758262901,0.92026,0.00121145806695898,0.07974,0.00121145806695898,0.07974,0.00121145806695898,"F.P.
skew = 0.5
excess kurtosis = 1","n = 10"
"balanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0",1,"10, 10, 10, 10","F.P.",4,1,1.6,10,4,0.712829007521549,0.556125468062961,0.26754,0.00197970880889084,0.25898,0.00195912919226885,0.2713,0.00198844818891517,0.27422,0.00199511098237667,0.2835,0.00201557808084926,0.29668,0.00204284594426501,0.56486,0.0022171746904563,0.43514,0.0022171746904563,0.43514,0.0022171746904563,0.49328,0.00223586601387471,0.07158,0.00115287730136385,0.89382,0.00137772136225,0.10618,0.00137772136225,0.10618,0.00137772136225,"F.P.
skew = 1
excess kurtosis = 1.6","n = 10"
"balanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0",1,"10, 10, 10, 10","F.P.",5,2,6.6,10,4,1.30663280804756,2.20387487804576,0.29268,0.00203478951048997,0.31346,0.00207462203015393,0.30174,0.00205276872735338,0.42856,0.00221312596297635,0.42968,0.00221384325371061,0.43258,0.00221564682925777,0.12446,0.00147627713116474,0.87554,0.00147627713116474,0.87554,0.00147627713116474,0.0796,0.00121048618331644,0.04486,0.000925716807668522,0.7893,0.00182376264903084,0.2107,0.00182376264903084,0.2107,0.00182376264903084,"F.P.
skew = 2
excess kurtosis = 6.6","n = 10"
"balanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0",1,"20, 20, 20, 20","normal",1,0,0,20,4,0.00119225198818605,-0.0751634564257012,0.51438,0.0022351430182429,0.4942,0.00223591752978503,0.51586,0.00223494277510633,0.48142,0.00223452358949285,0.49616,0.00223600203219943,0.51688,0.00223479334883564,0.95006,0.000974125211664291,0.04994,0.000974125211664291,0.04994,0.000974125211664291,0.89552,0.00136794685276878,0.05454,0.00101553324317818,0.94308,0.00103614780412835,0.05692,0.00103614780412835,0.05692,0.00103614780412835,"Normal distribution
skew = 0; excess kurtosis = 0","n = 20"
"balanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0",1,"20, 20, 20, 20","F.P.",2,0,6,20,4,0.00511043774085678,3.19582133985379,0.53892,0.00222928344362039,0.55782,0.00222106662484492,0.54454,0.00222717843200764,0.69484,0.00205930752633015,0.68324,0.00208049562556618,0.68576,0.00207602130239552,0.25814,0.00195705769153594,0.74186,0.00195705769153594,0.74186,0.00195705769153594,0.24144,0.0019138794444792,0.0167,0.000573081320581992,0.93106,0.00113302494588601,0.06894,0.00113302494588601,0.06894,0.00113302494588601,"F.P.
skew = 0
excess kurtosis = 6","n = 20"
"balanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0",1,"20, 20, 20, 20","F.P.",3,0.5,1,20,4,0.415142134101048,0.602378803009487,0.51736,0.00223471980525524,0.50784,0.00223579307808214,0.52046,0.0022341951051777,0.52858,0.00223241207486432,0.53256,0.00223132178943334,0.54322,0.00222769850563311,0.6846,0.00207808969970018,0.3154,0.00207808969970018,0.3154,0.00207808969970018,0.63748,0.00214988022736151,0.04712,0.00094762551253119,0.93292,0.00111875174726121,0.06708,0.00111875174726121,0.06708,0.00111875174726121,"F.P.
skew = 0.5
excess kurtosis = 1","n = 20"
"balanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0",1,"20, 20, 20, 20","F.P.",4,1,1.6,20,4,0.844331705724362,0.968184452960578,0.52432,0.00223342131090397,0.51594,0.00223493139223556,0.5271,0.00223278118050113,0.56972,0.00221422276024794,0.57384,0.00221154992889602,0.57662,0.00220965778164855,0.18302,0.00172929858381946,0.81698,0.00172929858381946,0.81698,0.00172929858381946,0.15728,0.00162814619491003,0.02574,0.000708201276474421,0.89958,0.00134414153719019,0.10042,0.00134414153719019,0.10042,0.00134414153719019,"F.P.
skew = 1
excess kurtosis = 1.6","n = 20"
"balanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0",1,"20, 20, 20, 20","F.P.",5,2,6.6,20,4,1.59802067186626,3.63396408484918,0.53714,0.00222989067175949,0.55514,0.00222242921327092,0.54558,0.00222675756920236,0.78444,0.00183898823487264,0.7845,0.00183880259951959,0.7845,0.00183880259951959,0.00126,0.000158645037741494,0.99874,0.000158645037741496,0.99874,0.000158645037741496,0.00066,0.000114853332559399,6e-04,0.0001095116432166,0.80342,0.00177728052709751,0.19658,0.00177728052709751,0.19658,0.00177728052709751,"F.P.
skew = 2
excess kurtosis = 6.6","n = 20"
