"design","mean_n_per_group","n_per_group","sd_per_group","distribution","panel","skew","excess_kurtosis","groups","group_means","resid_skewness","resid_excess_kurtosis","fisher_rejection","fisher_mc_se","welch_rejection","welch_mc_se","levene_route_rejection","levene_route_mc_se","rank_rejection","rank_mc_se","sw_rejection","sw_mc_se","sw_gate_rejection","sw_gate_mc_se","sw_route_welch_probability","sw_route_welch_mc_se","sw_route_rank_probability","sw_route_rank_mc_se","route_fisher_probability","route_fisher_mc_se","route_welch_probability","route_welch_mc_se","route_rank_probability","route_rank_mc_se","levene_select_fisher_probability","levene_select_welch_probability","sw_reject_probability","levene_reject_probability","skew_label"
"balanced n, equal SD",10,"10, 10, 10, 10","1.0, 1.0, 1.0, 1.0","normal",1,0,0,4,"0, 0, 0, 0",6.00237619640897e-05,-0.159887280913597,0.04988,0.000973570599391744,0.05024,0.000976892444437974,0.05238,0.000996356719252698,0.0449,0.000926110036658712,0.05152,0.000988591822745869,0.0539,0.00100989890583167,0.95096,0.000965764758106238,0.04904,0.000965764758106238,0.88848,0.00140771651691667,0.06248,0.00108237008088731,0.04904,0.000965764758106238,0.93522,0.06478,0.04904,0.06478,"Normal distribution
skew = 0; excess kurtosis = 0"
"balanced n, equal SD",10,"10, 10, 10, 10","1.0, 1.0, 1.0, 1.0","F.P.",2,0,6,4,"0, 0, 0, 0",-0.00224095686366816,1.94646639677447,0.04354,0.000912625535474435,0.03576,0.000830436299784637,0.04346,0.000911824855989351,0.04298,0.000907002972431734,0.0419,0.000896040066068477,0.04972,0.000972089724253888,0.55794,0.00222100408104083,0.44206,0.00222100408104083,0.51152,0.00223547439976395,0.04642,0.000940905772115359,0.44206,0.00222100408104083,0.91352,0.08648,0.44206,0.08648,"F.P.
skew = 0
excess kurtosis = 6"
"balanced n, equal SD",10,"10, 10, 10, 10","1.0, 1.0, 1.0, 1.0","F.P.",3,0.5,1,4,"0, 0, 0, 0",0.339054063852312,0.297878514396271,0.04948,0.000969863182103538,0.04816,0.00095750315299742,0.05108,0.000984589595719963,0.04556,0.00093256942261689,0.05016,0.000976155463028303,0.05474,0.00101728592244265,0.82918,0.00168309552670073,0.17082,0.00168309552670073,0.76558,0.00189455674816037,0.0636,0.00109137564568759,0.17082,0.00168309552670073,0.92542,0.07458,0.17082,0.07458,"F.P.
skew = 0.5
excess kurtosis = 1"
"balanced n, equal SD",10,"10, 10, 10, 10","1.0, 1.0, 1.0, 1.0","F.P.",4,1,1.6,4,"0, 0, 0, 0",0.70940178370314,0.54833197275787,0.04768,0.000952959785090641,0.05148,0.000988228815609017,0.04992,0.000973940384212504,0.04446,0.000921773382128167,0.0535,0.00100635729241657,0.05476,0.00101746098107004,0.56624,0.00221635855582981,0.43376,0.00221635855582981,0.49226,0.00223580004651579,0.07398,0.0011705294494373,0.43376,0.00221635855582981,0.8914,0.1086,0.43376,0.1086,"F.P.
skew = 1
excess kurtosis = 1.6"
"balanced n, equal SD",10,"10, 10, 10, 10","1.0, 1.0, 1.0, 1.0","F.P.",5,2,6.6,4,"0, 0, 0, 0",1.30803574758607,2.21702787108883,0.0443,0.000920190306404061,0.0522,0.000994737754385547,0.04688,0.00094532815043243,0.04476,0.000924732852233552,0.05074,0.000981483085946977,0.05156,0.00098895466427941,0.12544,0.00148124816556848,0.87456,0.00148124816556848,0.08194,0.00122658743186126,0.0435,0.000912225301118096,0.87456,0.00148124816556848,0.79016,0.20984,0.87456,0.20984,"F.P.
skew = 2
excess kurtosis = 6.6"
"balanced n, unequal SD",10,"10, 10, 10, 10","1.000000, 1.414214, 2.000000, 2.236068","normal",1,0,0,4,"0, 0, 0, 0",-0.00190792288051532,0.481702282524268,0.06194,0.00107799291648879,0.05218,0.000994557666503054,0.06366,0.00109185534206689,0.05202,0.000993115497814831,0.05492,0.00101886008460436,0.06638,0.00111331662702036,0.88266,0.0014392451104659,0.11734,0.0014392451104659,0.4879,0.00223541311618233,0.39476,0.00218597594863256,0.11734,0.0014392451104659,0.55804,0.44196,0.11734,0.44196,"Normal distribution
skew = 0; excess kurtosis = 0"
"balanced n, unequal SD",10,"10, 10, 10, 10","1.000000, 1.414214, 2.000000, 2.236068","F.P.",2,0,6,4,"0, 0, 0, 0",0.0024842516476514,2.61815767215392,0.05496,0.00101920948190252,0.03688,0.000842850705641278,0.04758,0.000952009911713108,0.04974,0.000972274985793628,0.04802,0.000956180731870288,0.05554,0.00102425883838022,0.4463,0.00222313431892902,0.5537,0.00222313431892902,0.30682,0.00206243296909257,0.13948,0.00154935683172083,0.5537,0.00222313431892902,0.68152,0.31848,0.5537,0.31848,"F.P.
skew = 0
excess kurtosis = 6"
"balanced n, unequal SD",10,"10, 10, 10, 10","1.000000, 1.414214, 2.000000, 2.236068","F.P.",3,0.5,1,4,"0, 0, 0, 0",0.353041954518499,0.951992850167666,0.05954,0.00105825316819748,0.05084,0.000982398029313984,0.0596,0.00105875247343277,0.05266,0.000998868603971513,0.05624,0.00103031123841294,0.0649,0.00110170767447631,0.74666,0.00194503904536644,0.25334,0.00194503904536644,0.43078,0.00221453648242697,0.31588,0.00207894119974568,0.25334,0.00194503904536644,0.58486,0.41514,0.25334,0.41514,"F.P.
skew = 0.5
excess kurtosis = 1"
"balanced n, unequal SD",10,"10, 10, 10, 10","1.000000, 1.414214, 2.000000, 2.236068","F.P.",4,1,1.6,4,"0, 0, 0, 0",0.746064327979303,1.18769823215786,0.0603,0.00106455540015539,0.05774,0.00104313079141592,0.06324,0.00108849163892058,0.0612,0.00107195671554406,0.06614,0.00111144500898605,0.0714,0.0011515384492061,0.5646,0.00221732649828572,0.4354,0.00221732649828572,0.29186,0.00203311455850377,0.27274,0.00199174743579601,0.4354,0.00221732649828572,0.55082,0.44918,0.4354,0.44918,"F.P.
skew = 1
excess kurtosis = 1.6"
"balanced n, unequal SD",10,"10, 10, 10, 10","1.000000, 1.414214, 2.000000, 2.236068","F.P.",5,2,6.6,4,"0, 0, 0, 0",1.35649869030147,2.83098201196185,0.05972,0.00105975017433355,0.07382,0.00116936399465692,0.06824,0.0011276817139601,0.09374,0.00130347851842675,0.09766,0.00132757315730622,0.09782,0.00132854241633453,0.15658,0.00162519354908885,0.84342,0.00162519354908885,0.06052,0.00106637075728848,0.09606,0.00131781999074229,0.84342,0.00162519354908885,0.5312,0.4688,0.84342,0.4688,"F.P.
skew = 2
excess kurtosis = 6.6"
