"design","scenario","effect_size","group_mean_offsets","n_vector","distribution","panel","skew","excess_kurtosis","n_per_group","groups","resid_skewness","resid_excess_kurtosis","fisher_power","fisher_mc_se","welch_power","welch_mc_se","mean_power","mean_mc_se","rank_power","rank_mc_se","sw_power","sw_mc_se","gate_power","gate_mc_se","sw_route_welch_probability","sw_route_welch_mc_se","sw_route_rank_probability","sw_route_rank_mc_se","route_rank_probability","route_rank_mc_se","route_fisher_probability","route_fisher_mc_se","route_welch_probability","route_welch_mc_se","mean_route_fisher_probability","mean_route_fisher_mc_se","mean_route_welch_probability","mean_route_welch_mc_se","levene_reject_probability","levene_reject_mc_se","skew_label","n_label"
"balanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","10, 10, 10, 10","normal",1,0,0,10,4,-0.00419514888930978,-0.159716789256604,0.25906,0.00195932598819084,0.238,0.00190449993436597,0.26248,0.00196765977546933,0.23336,0.00189157664608125,0.24072,0.00191193034182734,0.26458,0.00197270080650868,0.95078,0.000967443968403339,0.04922,0.000967443968403339,0.04922,0.000967443968403339,0.88942,0.00140251248550592,0.06136,0.0010732655812985,0.93648,0.00109073561966225,0.06352,0.00109073561966225,0.06352,0.00109073561966225,"Normal distribution
skew = 0; excess kurtosis = 0","n = 10"
"balanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","10, 10, 10, 10","F.P.",2,0,6,10,4,0.000194169705426133,1.96074314397895,0.28962,0.00202849824057109,0.2982,0.0020458580595926,0.29738,0.00204423646186052,0.36128,0.00214828658051015,0.34744,0.00212943864152034,0.3606,0.00214740606313757,0.55742,0.00222127415507406,0.44258,0.00222127415507406,0.44258,0.00222127415507406,0.5105,0.00223557487013967,0.04692,0.000945711516266985,0.91446,0.00125078302195065,0.08554,0.00125078302195065,0.08554,0.00125078302195065,"F.P.
skew = 0
excess kurtosis = 6","n = 10"
"balanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","10, 10, 10, 10","F.P.",3,0.5,1,10,4,0.343391077421938,0.310546159100983,0.26462,0.00197279626723086,0.25088,0.00193875849759582,0.26914,0.00198344982492626,0.25436,0.00194761900997089,0.26102,0.00196412097183447,0.28022,0.00200846584038664,0.82906,0.00168356476798489,0.17094,0.00168356476798489,0.17094,0.00168356476798489,0.76052,0.00190855615374555,0.06854,0.0011299758262901,0.92026,0.00121145806695898,0.07974,0.00121145806695898,0.07974,0.00121145806695898,"F.P.
skew = 0.5
excess kurtosis = 1","n = 10"
"balanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","10, 10, 10, 10","F.P.",4,1,1.6,10,4,0.712829007521549,0.556125468062961,0.26754,0.00197970880889084,0.25898,0.00195912919226885,0.2713,0.00198844818891517,0.27422,0.00199511098237667,0.2835,0.00201557808084926,0.29668,0.00204284594426501,0.56486,0.0022171746904563,0.43514,0.0022171746904563,0.43514,0.0022171746904563,0.49328,0.00223586601387471,0.07158,0.00115287730136385,0.89382,0.00137772136225,0.10618,0.00137772136225,0.10618,0.00137772136225,"F.P.
skew = 1
excess kurtosis = 1.6","n = 10"
"balanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","10, 10, 10, 10","F.P.",5,2,6.6,10,4,1.30663280804756,2.20387487804576,0.29268,0.00203478951048997,0.31346,0.00207462203015393,0.30174,0.00205276872735338,0.42856,0.00221312596297635,0.42968,0.00221384325371061,0.43258,0.00221564682925777,0.12446,0.00147627713116474,0.87554,0.00147627713116474,0.87554,0.00147627713116474,0.0796,0.00121048618331644,0.04486,0.000925716807668522,0.7893,0.00182376264903084,0.2107,0.00182376264903084,0.2107,0.00182376264903084,"F.P.
skew = 2
excess kurtosis = 6.6","n = 10"
"balanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","20, 20, 20, 20","normal",1,0,0,20,4,0.00119225198818605,-0.0751634564257012,0.51438,0.0022351430182429,0.4942,0.00223591752978503,0.51586,0.00223494277510633,0.48142,0.00223452358949285,0.49616,0.00223600203219943,0.51688,0.00223479334883564,0.95006,0.000974125211664291,0.04994,0.000974125211664291,0.04994,0.000974125211664291,0.89552,0.00136794685276878,0.05454,0.00101553324317818,0.94308,0.00103614780412835,0.05692,0.00103614780412835,0.05692,0.00103614780412835,"Normal distribution
skew = 0; excess kurtosis = 0","n = 20"
"balanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","20, 20, 20, 20","F.P.",2,0,6,20,4,0.00511043774085678,3.19582133985379,0.53892,0.00222928344362039,0.55782,0.00222106662484492,0.54454,0.00222717843200764,0.69484,0.00205930752633015,0.68324,0.00208049562556618,0.68576,0.00207602130239552,0.25814,0.00195705769153594,0.74186,0.00195705769153594,0.74186,0.00195705769153594,0.24144,0.0019138794444792,0.0167,0.000573081320581992,0.93106,0.00113302494588601,0.06894,0.00113302494588601,0.06894,0.00113302494588601,"F.P.
skew = 0
excess kurtosis = 6","n = 20"
"balanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","20, 20, 20, 20","F.P.",3,0.5,1,20,4,0.415142134101048,0.602378803009487,0.51736,0.00223471980525524,0.50784,0.00223579307808214,0.52046,0.0022341951051777,0.52858,0.00223241207486432,0.53256,0.00223132178943334,0.54322,0.00222769850563311,0.6846,0.00207808969970018,0.3154,0.00207808969970018,0.3154,0.00207808969970018,0.63748,0.00214988022736151,0.04712,0.00094762551253119,0.93292,0.00111875174726121,0.06708,0.00111875174726121,0.06708,0.00111875174726121,"F.P.
skew = 0.5
excess kurtosis = 1","n = 20"
"balanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","20, 20, 20, 20","F.P.",4,1,1.6,20,4,0.844331705724362,0.968184452960578,0.52432,0.00223342131090397,0.51594,0.00223493139223556,0.5271,0.00223278118050113,0.56972,0.00221422276024794,0.57384,0.00221154992889602,0.57662,0.00220965778164855,0.18302,0.00172929858381946,0.81698,0.00172929858381946,0.81698,0.00172929858381946,0.15728,0.00162814619491003,0.02574,0.000708201276474421,0.89958,0.00134414153719019,0.10042,0.00134414153719019,0.10042,0.00134414153719019,"F.P.
skew = 1
excess kurtosis = 1.6","n = 20"
"balanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","20, 20, 20, 20","F.P.",5,2,6.6,20,4,1.59802067186626,3.63396408484918,0.53714,0.00222989067175949,0.55514,0.00222242921327092,0.54558,0.00222675756920236,0.78444,0.00183898823487264,0.7845,0.00183880259951959,0.7845,0.00183880259951959,0.00126,0.000158645037741494,0.99874,0.000158645037741496,0.99874,0.000158645037741496,0.00066,0.000114853332559399,6e-04,0.0001095116432166,0.80342,0.00177728052709751,0.19658,0.00177728052709751,0.19658,0.00177728052709751,"F.P.
skew = 2
excess kurtosis = 6.6","n = 20"
"balanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","30, 30, 30, 30","normal",1,0,0,30,4,-0.0010949524583901,-0.0519799082716406,0.7159,0.00201686484425705,0.70364,0.00204220836547107,0.71602,0.00201660784288865,0.6889,0.00207034678254634,0.70456,0.00204036862551844,0.7166,0.00201536319307464,0.95122,0.000963332877047182,0.04878,0.000963332877047181,0.04878,0.000963332877047181,0.9,0.00134164078649987,0.05122,0.000985865219997135,0.94646,0.00100671215747104,0.05354,0.00100671215747104,0.05354,0.00100671215747104,"Normal distribution
skew = 0; excess kurtosis = 0","n = 30"
"balanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","30, 30, 30, 30","F.P.",2,0,6,30,4,-0.000424073065941583,3.78457813958397,0.72046,0.0020069747801106,0.73674,0.00196953889222833,0.72502,0.00199682748178204,0.87876,0.00145973190963272,0.87412,0.00148347042842114,0.87442,0.00148195589408052,0.10724,0.00138375996762444,0.89276,0.00138375996762444,0.89276,0.00138375996762444,0.10052,0.00134473588187421,0.00672,0.000365372182849215,0.93818,0.00107701706207469,0.06182,0.00107701706207469,0.06182,0.00107701706207469,"F.P.
skew = 0
excess kurtosis = 6","n = 30"
"balanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","30, 30, 30, 30","F.P.",3,0.5,1,30,4,0.44296429454409,0.720604574301678,0.71618,0.00201626490124686,0.70902,0.00203130814796771,0.71674,0.0020150621449474,0.73602,0.00197126639295657,0.735,0.00197370210518204,0.74056,0.00196025960729695,0.5548,0.00222259739944057,0.4452,0.00222259739944057,0.4452,0.00222259739944057,0.51868,0.00223450691473533,0.03612,0.000834450065612077,0.9375,0.00108253175473055,0.0625,0.00108253175473055,0.0625,0.00108253175473055,"F.P.
skew = 0.5
excess kurtosis = 1","n = 30"
"balanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","30, 30, 30, 30","F.P.",4,1,1.6,30,4,0.895240346393375,1.15893508735844,0.72242,0.0020026449690347,0.71558,0.00201754932331282,0.72392,0.00199929904516558,0.7782,0.001857981485376,0.77898,0.00185564091138345,0.77924,0.001854858605932,0.0425,0.000902150209222389,0.9575,0.000902150209222389,0.9575,0.000902150209222389,0.0366,0.000839767110572926,0.0059,0.000342496423338989,0.90374,0.00131904520316781,0.09626,0.00131904520316781,0.09626,0.00131904520316781,"F.P.
skew = 1
excess kurtosis = 1.6","n = 30"
"balanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","30, 30, 30, 30","F.P.",5,2,6.6,30,4,1.70784598870147,4.2936744397199,0.72254,0.00200237832788911,0.73494,0.00197384496047689,0.73066,0.00198391514133039,0.93482,0.00110391637002085,0.93482,0.00110391637002085,0.93482,0.00110391637002085,0,0,1,0,1,0,0,0,0,0,0.80768,0.00176257208419968,0.19232,0.00176257208419968,0.19232,0.00176257208419968,"F.P.
skew = 2
excess kurtosis = 6.6","n = 30"
"balanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","50, 50, 50, 50","normal",1,0,0,50,4,0.000658263147217363,-0.0310012616286031,0.92332,0.00118995947494022,0.91876,0.00122180245866507,0.92318,0.00119095497479964,0.90724,0.00129734792866062,0.91876,0.00122180245866507,0.92292,0.00119280068410443,0.95264,0.000949916105769346,0.04736,0.000949916105769346,0.04736,0.000949916105769346,0.90148,0.00133277011971307,0.05116,0.000985318774813512,0.94668,0.00100475845455512,0.05332,0.00100475845455512,0.05332,0.00100475845455512,"Normal distribution
skew = 0; excess kurtosis = 0","n = 50"
"balanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","50, 50, 50, 50","F.P.",2,0,6,50,4,0.000994198525660269,4.46890419080585,0.91804,0.00122672375374409,0.92166,0.00120168918111132,0.9188,0.00122152822316965,0.98738,0.000499214094352312,0.9871,0.00050465017586443,0.9872,0.000502715824298381,0.0149,0.000541811590869003,0.9851,0.000541811590869004,0.9851,0.000541811590869004,0.0141,0.000527279622211972,8e-04,0.000126440499840834,0.94574,0.00101307307140206,0.05426,0.00101307307140206,0.05426,0.00101307307140206,"F.P.
skew = 0
excess kurtosis = 6","n = 50"
"balanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","50, 50, 50, 50","F.P.",3,0.5,1,50,4,0.463442970786438,0.813732750403825,0.92186,0.00120028446961543,0.91878,0.00122166535188651,0.92228,0.00119732703636058,0.93614,0.00109345233458071,0.93588,0.00109552385277547,0.93718,0.00108511425757844,0.35978,0.00214633805165915,0.64022,0.00214633805165915,0.64022,0.00214633805165915,0.33636,0.00211292191242365,0.02342,0.000676335768682982,0.93788,0.00107945454373957,0.06212,0.00107945454373957,0.06212,0.00107945454373957,"F.P.
skew = 0.5
excess kurtosis = 1","n = 50"
"balanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","50, 50, 50, 50","F.P.",4,1,1.6,50,4,0.936396878083979,1.31880608999913,0.92298,0.00119237510540937,0.9211,0.00120561013598924,0.92332,0.00118995947494022,0.95328,0.000943792790817984,0.95328,0.000943792790817984,0.95328,0.000943792790817984,0.00106,0.00014552500816011,0.99894,0.000145525008160106,0.99894,0.000145525008160106,0.00088,0.000132606606170281,0.00018,5.99945997569781e-05,0.90394,0.00131781999074229,0.09606,0.00131781999074229,0.09606,0.00131781999074229,"F.P.
skew = 1
excess kurtosis = 1.6","n = 50"
