"design","mean_n_per_group","n_per_group","sd_per_group","distribution","panel","skew","excess_kurtosis","groups","group_means","fisher_rejection","fisher_mc_se","welch_rejection","welch_mc_se","levene_route_rejection","levene_route_mc_se","rank_rejection","rank_mc_se","sw_rejection","sw_mc_se","sw_gate_rejection","sw_gate_mc_se","sw_route_welch_probability","sw_route_welch_mc_se","sw_route_rank_probability","sw_route_rank_mc_se","route_fisher_probability","route_fisher_mc_se","route_welch_probability","route_welch_mc_se","route_rank_probability","route_rank_mc_se","levene_select_fisher_probability","levene_select_welch_probability","sw_reject_probability","levene_reject_probability","skew_label"
"balanced n, equal SD",10,"10, 10, 10, 10","1.0, 1.0, 1.0, 1.0","normal",1,0,0,4,"0, 0, 0, 0",0.04988,0.000973570599391744,0.05024,0.000976892444437974,0.05238,0.000996356719252698,0.0449,0.000926110036658712,0.05152,0.000988591822745869,0.0539,0.00100989890583167,0.95096,0.000965764758106238,0.04904,0.000965764758106238,0.88848,0.00140771651691667,0.06248,0.00108237008088731,0.04904,0.000965764758106238,0.93522,0.06478,0.04904,0.06478,"Normal distribution
skew = 0; excess kurtosis = 0"
"balanced n, equal SD",10,"10, 10, 10, 10","1.0, 1.0, 1.0, 1.0","F.P.",2,0,6,4,"0, 0, 0, 0",0.04354,0.000912625535474435,0.03576,0.000830436299784637,0.04346,0.000911824855989351,0.04298,0.000907002972431734,0.0419,0.000896040066068477,0.04972,0.000972089724253888,0.55794,0.00222100408104083,0.44206,0.00222100408104083,0.51152,0.00223547439976395,0.04642,0.000940905772115359,0.44206,0.00222100408104083,0.91352,0.08648,0.44206,0.08648,"F.P.
skew = 0
excess kurtosis = 6"
"balanced n, equal SD",10,"10, 10, 10, 10","1.0, 1.0, 1.0, 1.0","F.P.",3,0.5,1,4,"0, 0, 0, 0",0.04948,0.000969863182103538,0.04816,0.00095750315299742,0.05108,0.000984589595719963,0.04556,0.00093256942261689,0.05016,0.000976155463028303,0.05474,0.00101728592244265,0.82918,0.00168309552670073,0.17082,0.00168309552670073,0.76558,0.00189455674816037,0.0636,0.00109137564568759,0.17082,0.00168309552670073,0.92542,0.07458,0.17082,0.07458,"F.P.
skew = 0.5
excess kurtosis = 1"
"balanced n, equal SD",10,"10, 10, 10, 10","1.0, 1.0, 1.0, 1.0","F.P.",4,1,1.6,4,"0, 0, 0, 0",0.04768,0.000952959785090641,0.05148,0.000988228815609017,0.04992,0.000973940384212504,0.04446,0.000921773382128167,0.0535,0.00100635729241657,0.05476,0.00101746098107004,0.56624,0.00221635855582981,0.43376,0.00221635855582981,0.49226,0.00223580004651579,0.07398,0.0011705294494373,0.43376,0.00221635855582981,0.8914,0.1086,0.43376,0.1086,"F.P.
skew = 1
excess kurtosis = 1.6"
"balanced n, equal SD",10,"10, 10, 10, 10","1.0, 1.0, 1.0, 1.0","F.P.",5,2,6.6,4,"0, 0, 0, 0",0.0443,0.000920190306404061,0.0522,0.000994737754385547,0.04688,0.00094532815043243,0.04476,0.000924732852233552,0.05074,0.000981483085946977,0.05156,0.00098895466427941,0.12544,0.00148124816556848,0.87456,0.00148124816556848,0.08194,0.00122658743186126,0.0435,0.000912225301118096,0.87456,0.00148124816556848,0.79016,0.20984,0.87456,0.20984,"F.P.
skew = 2
excess kurtosis = 6.6"
"balanced n, unequal SD",10,"10, 10, 10, 10","1.0, 1.3, 1.7, 2.2","normal",1,0,0,4,"0, 0, 0, 0",0.06342,0.00108993489346841,0.0513,0.000986593229249015,0.06412,0.00109552385277547,0.05168,0.000990042197080508,0.05418,0.00101236878260839,0.06672,0.0011159609455532,0.87036,0.00150222149099259,0.12964,0.00150222149099259,0.50232,0.00223604390654567,0.36804,0.0021567872328999,0.12964,0.00150222149099259,0.57714,0.42286,0.12964,0.42286,"Normal distribution
skew = 0; excess kurtosis = 0"
"balanced n, unequal SD",10,"10, 10, 10, 10","1.0, 1.3, 1.7, 2.2","F.P.",2,0,6,4,"0, 0, 0, 0",0.0552,0.00102130269753879,0.03672,0.000841090263883729,0.0477,0.000953149620993472,0.04906,0.000965951514311148,0.04762,0.0009523899999475,0.05552,0.00102408524645168,0.45034,0.0022250118399685,0.54966,0.0022250118399685,0.32006,0.00208624829011314,0.13028,0.00150537119409134,0.54966,0.0022250118399685,0.69184,0.30816,0.54966,0.30816,"F.P.
skew = 0
excess kurtosis = 6"
"balanced n, unequal SD",10,"10, 10, 10, 10","1.0, 1.3, 1.7, 2.2","F.P.",3,0.5,1,4,"0, 0, 0, 0",0.06028,0.00106439016906396,0.05012,0.000975786714400232,0.0598,0.00106041463588542,0.05218,0.000994557666503054,0.05504,0.00101990782328601,0.06436,0.00109743145936318,0.74048,0.00196045591432197,0.25952,0.00196045591432197,0.44498,0.00222248869333457,0.2955,0.00204048891200124,0.25952,0.00196045591432197,0.5999,0.4001,0.25952,0.4001,"F.P.
skew = 0.5
excess kurtosis = 1"
"balanced n, unequal SD",10,"10, 10, 10, 10","1.0, 1.3, 1.7, 2.2","F.P.",4,1,1.6,4,"0, 0, 0, 0",0.06152,0.00107457237634326,0.05654,0.00103289136311618,0.0648,0.00110091743559633,0.06056,0.00106670039280015,0.06498,0.00110233932706767,0.07212,0.00115688120046961,0.56306,0.00221821295821659,0.43694,0.00221821295821659,0.30654,0.00206190799212768,0.25652,0.00195303604472626,0.43694,0.00221821295821659,0.56902,0.43098,0.43694,0.43098,"F.P.
skew = 1
excess kurtosis = 1.6"
"balanced n, unequal SD",10,"10, 10, 10, 10","1.0, 1.3, 1.7, 2.2","F.P.",5,2,6.6,4,"0, 0, 0, 0",0.06252,0.00108269339704276,0.06944,0.00113682088650763,0.06768,0.00112338254926806,0.09282,0.00129772452854988,0.09574,0.00131585601339964,0.09694,0.00132319791716886,0.15402,0.00161429761568306,0.84598,0.00161429761568306,0.0629,0.00108575862879371,0.09112,0.00128698986476196,0.84598,0.00161429761568306,0.54946,0.45054,0.84598,0.45054,"F.P.
skew = 2
excess kurtosis = 6.6"
