"grid","design","panel","sd_per_group","group_mean_offsets","psi","c_kw_psi"
"legacy","balanced n, equal SD",1,"1.0, 1.0, 1.0, 1.0","0.00, 0.25, 0.50, 0.75","0.3972, 0.4659, 0.5348, 0.6021",0.0233846397233135
"legacy","balanced n, equal SD",2,"1.0, 1.0, 1.0, 1.0","0.00, 0.25, 0.50, 0.75","0.3736, 0.4570, 0.5429, 0.6265",0.0356667773834892
"legacy","balanced n, equal SD",3,"1.0, 1.0, 1.0, 1.0","0.00, 0.25, 0.50, 0.75","0.3926, 0.4642, 0.5358, 0.6074",0.0256449182480072
"legacy","balanced n, equal SD",4,"1.0, 1.0, 1.0, 1.0","0.00, 0.25, 0.50, 0.75","0.3878, 0.4626, 0.5379, 0.6116",0.0278678076324537
"legacy","balanced n, equal SD",5,"1.0, 1.0, 1.0, 1.0","0.00, 0.25, 0.50, 0.75","0.3631, 0.4512, 0.5478, 0.6379",0.0424406066132005
"legacy","unbalanced n, equal SD",1,"1.0, 1.0, 1.0, 1.0","0.00, 0.25, 0.50, 0.75","0.3972, 0.4650, 0.5357, 0.6022",0.0235043793351638
"legacy","unbalanced n, equal SD",2,"1.0, 1.0, 1.0, 1.0","0.00, 0.25, 0.50, 0.75","0.3739, 0.4573, 0.5428, 0.6259",0.0354078968008866
"legacy","unbalanced n, equal SD",3,"1.0, 1.0, 1.0, 1.0","0.00, 0.25, 0.50, 0.75","0.3928, 0.4637, 0.5363, 0.6072",0.0256141474938597
"legacy","unbalanced n, equal SD",4,"1.0, 1.0, 1.0, 1.0","0.00, 0.25, 0.50, 0.75","0.3873, 0.4621, 0.5385, 0.6120",0.0281637609292627
"legacy","unbalanced n, equal SD",5,"1.0, 1.0, 1.0, 1.0","0.00, 0.25, 0.50, 0.75","0.3627, 0.4534, 0.5463, 0.6376",0.0420952475939655
"legacy","balanced n, unequal SD",1,"1.0, 1.3, 1.7, 2.2","0.000, 0.404, 0.807, 1.211","0.3879, 0.4752, 0.5437, 0.5933",0.0237971771329167
"legacy","balanced n, unequal SD",2,"1.0, 1.3, 1.7, 2.2","0.000, 0.404, 0.807, 1.211","0.3589, 0.4678, 0.5551, 0.6182",0.0379332017414112
"legacy","balanced n, unequal SD",3,"1.0, 1.3, 1.7, 2.2","0.000, 0.404, 0.807, 1.211","0.3890, 0.4766, 0.5434, 0.5910",0.0230268148624917
"legacy","balanced n, unequal SD",4,"1.0, 1.3, 1.7, 2.2","0.000, 0.404, 0.807, 1.211","0.3985, 0.4806, 0.5410, 0.5799",0.0187373133031656
"legacy","balanced n, unequal SD",5,"1.0, 1.3, 1.7, 2.2","0.000, 0.404, 0.807, 1.211","0.3862, 0.4823, 0.5473, 0.5842",0.0225788525101038
"legacy","unbalanced n, larger n with larger SD",1,"1.0, 1.3, 1.7, 2.2","0.000, 0.404, 0.807, 1.211","0.3872, 0.4745, 0.5440, 0.5943",0.02419380802216
"legacy","unbalanced n, larger n with larger SD",2,"1.0, 1.3, 1.7, 2.2","0.000, 0.404, 0.807, 1.211","0.3582, 0.4674, 0.5560, 0.6184",0.0383293778314057
"legacy","unbalanced n, larger n with larger SD",3,"1.0, 1.3, 1.7, 2.2","0.000, 0.404, 0.807, 1.211","0.3900, 0.4760, 0.5437, 0.5904",0.0227538589459472
"legacy","unbalanced n, larger n with larger SD",4,"1.0, 1.3, 1.7, 2.2","0.000, 0.404, 0.807, 1.211","0.3989, 0.4803, 0.5409, 0.5800",0.0186865139471128
"legacy","unbalanced n, larger n with larger SD",5,"1.0, 1.3, 1.7, 2.2","0.000, 0.404, 0.807, 1.211","0.3869, 0.4820, 0.5466, 0.5846",0.0224441986733951
"legacy","unbalanced n, larger n with smaller SD",1,"2.2, 1.7, 1.3, 1.0","0.000, 0.404, 0.807, 1.211","0.4072, 0.4564, 0.5246, 0.6119",0.0236484281593109
"legacy","unbalanced n, larger n with smaller SD",2,"2.2, 1.7, 1.3, 1.0","0.000, 0.404, 0.807, 1.211","0.3813, 0.4453, 0.5330, 0.6404",0.0378704046362982
"legacy","unbalanced n, larger n with smaller SD",3,"2.2, 1.7, 1.3, 1.0","0.000, 0.404, 0.807, 1.211","0.3947, 0.4505, 0.5297, 0.6251",0.0300876941593057
"legacy","unbalanced n, larger n with smaller SD",4,"2.2, 1.7, 1.3, 1.0","0.000, 0.404, 0.807, 1.211","0.3831, 0.4460, 0.5343, 0.6367",0.0364468020342139
"legacy","unbalanced n, larger n with smaller SD",5,"2.2, 1.7, 1.3, 1.0","0.000, 0.404, 0.807, 1.211","0.3515, 0.4354, 0.5453, 0.6678",0.0564562152790121
"brunner","balanced n, unequal SD",1,"1.0000, 1.4142, 2.0000, 2.2361","0.00, 0.25, 0.50, 0.75","0.4324, 0.4843, 0.5246, 0.5587",0.00886336151698841
"brunner","balanced n, unequal SD",2,"1.0000, 1.4142, 2.0000, 2.2361","0.00, 0.25, 0.50, 0.75","0.4123, 0.4805, 0.5324, 0.5748",0.0147163743344772
"brunner","balanced n, unequal SD",3,"1.0000, 1.4142, 2.0000, 2.2361","0.00, 0.25, 0.50, 0.75","0.4409, 0.4884, 0.5199, 0.5508",0.00659633987540912
"brunner","balanced n, unequal SD",4,"1.0000, 1.4142, 2.0000, 2.2361","0.00, 0.25, 0.50, 0.75","0.4557, 0.4923, 0.5116, 0.5404",0.00378680315183512
