"design","effect_size","group_mean_offsets","sd_per_group","n_vector","n_per_group","distribution","panel","skew","excess_kurtosis","rank_power","ps_kw_power","ps_kw_mc_se","ps_ats_power","ps_ats_mc_se"
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","10, 10, 10, 10",10,"normal",1,0,0,0.23336,0.233,0.00189056076337155,0.24324,0.00191871989826551
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","10, 10, 10, 10",10,"F.P.",2,0,6,0.36128,0.35528,0.0021403556788534,0.36466,0.00215259417633701
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","10, 10, 10, 10",10,"F.P.",3,0.5,1,0.25436,0.2569,0.00195398254854029,0.26624,0.00197664494737927
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","10, 10, 10, 10",10,"F.P.",4,1,1.6,0.27422,0.27792,0.00200339947888583,0.28728,0.00202361163072364
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","10, 10, 10, 10",10,"F.P.",5,2,6.6,0.42856,0.43298,0.00221588952612715,0.43794,0.00221877694417442
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","20, 20, 20, 20",20,"normal",1,0,0,0.48142,0.48572,0.00223515584065183,0.49176,0.00223576430958185
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","20, 20, 20, 20",20,"F.P.",2,0,6,0.69484,0.69602,0.00205706664743756,0.70112,0.00204719684251417
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","20, 20, 20, 20",20,"F.P.",3,0.5,1,0.52858,0.52906,0.00223228813731561,0.53566,0.00223037380006133
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","20, 20, 20, 20",20,"F.P.",4,1,1.6,0.56972,0.56462,0.00221731484277718,0.56954,0.00221433596547588
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","20, 20, 20, 20",20,"F.P.",5,2,6.6,0.78444,0.7838,0.00184096474708236,0.78194,0.00184667179758613
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","30, 30, 30, 30",30,"normal",1,0,0,0.6889,0.6881,0.0020718030311784,0.69144,0.002065675320083
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","30, 30, 30, 30",30,"F.P.",2,0,6,0.87876,0.88028,0.00145180660971081,0.88238,0.00144073269970526
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","30, 30, 30, 30",30,"F.P.",3,0.5,1,0.73602,0.73948,0.00196290259360978,0.74262,0.00195517536604776
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","30, 30, 30, 30",30,"F.P.",4,1,1.6,0.7782,0.77024,0.00188133113725362,0.77242,0.00187503249891835
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","30, 30, 30, 30",30,"F.P.",5,2,6.6,0.93482,0.93516,0.00110123362099057,0.93374,0.00111238134108767
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","50, 50, 50, 50",50,"normal",1,0,0,0.90724,0.9062,0.00130385244563946,0.90724,0.00129734792866062
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","50, 50, 50, 50",50,"F.P.",2,0,6,0.98738,0.98722,0.000502328012358459,0.98736,0.000499604451541417
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","50, 50, 50, 50",50,"F.P.",3,0.5,1,0.93614,0.9359,0.00109536468812903,0.93662,0.001089614386836
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","50, 50, 50, 50",50,"F.P.",4,1,1.6,0.95328,0.95304,0.000946094692935121,0.9533,0.000943600657057846
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","50, 50, 50, 50",50,"F.P.",5,2,6.6,0.9964,0.99634,0.000270059415684771,0.9961,0.000278739663485483
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","100, 100, 100, 100",100,"normal",1,0,0,0.99854,0.99814,0.000192693559830108,0.9982,0.000189565819703871
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","100, 100, 100, 100",100,"F.P.",2,0,6,0.99998,0.99998,1.999979999901e-05,0.99998,1.999979999901e-05
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","100, 100, 100, 100",100,"F.P.",3,0.5,1,0.99916,0.99918,0.000128009968361846,0.99918,0.000128009968361846
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","100, 100, 100, 100",100,"F.P.",4,1,1.6,0.99968,0.9997,7.74480471025535e-05,0.9997,7.74480471025535e-05
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","100, 100, 100, 100",100,"F.P.",5,2,6.6,1,1,0,1,0
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","200, 200, 200, 200",200,"normal",1,0,0,1,1,0,1,0
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","200, 200, 200, 200",200,"F.P.",2,0,6,1,1,0,1,0
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","200, 200, 200, 200",200,"F.P.",3,0.5,1,1,1,0,1,0
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","200, 200, 200, 200",200,"F.P.",4,1,1.6,1,1,0,1,0
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","200, 200, 200, 200",200,"F.P.",5,2,6.6,1,1,0,1,0
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","5, 8, 12, 15",10,"normal",1,0,0,0.19606,0.25022,0.00193705937751015,0.18748,0.00174545839022304
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","5, 8, 12, 15",10,"F.P.",2,0,6,0.30544,0.37178,0.00216129420301818,0.29066,0.00203064898197596
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","5, 8, 12, 15",10,"F.P.",3,0.5,1,0.22394,0.27752,0.00200251167087735,0.20022,0.00178959186185007
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","5, 8, 12, 15",10,"F.P.",4,1,1.6,0.25016,0.32216,0.00208984657044483,0.21324,0.00183176801151237
