"design_set","design","omega_sq_regime","omega_sq","shift_scale","group_mean_offsets","sd_per_group","n_vector","n_per_group","distribution","panel","skew","excess_kurtosis","ps_kw_power","ps_kw_mc_se","ps_ats_power","ps_ats_mc_se","ats_h0p_power","ats_h0p_mc_se"
"brunner","balanced n, unequal SD","het",0.0301146298814844,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","10, 10, 10, 10",10,"normal",1,0,0,0.1034,0.00136167866987774,0.1038,0.00136400557183613,0.09804,0.00132987336539988
"brunner","balanced n, unequal SD","het",0.0301146298814844,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","10, 10, 10, 10",10,"F.P.",2,0,6,0.15254,0.00160792753816831,0.15424,0.00161524005893861,0.1458,0.00157824180656831
"brunner","balanced n, unequal SD","het",0.0301146298814844,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","10, 10, 10, 10",10,"F.P.",3,0.5,1,0.09208,0.0012930682394986,0.0932,0.00130010584184519,0.08776,0.00126537095272493
"brunner","balanced n, unequal SD","het",0.0301146298814844,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","10, 10, 10, 10",10,"F.P.",4,1,1.6,0.0743,0.0011728555750816,0.0752,0.00117936389634413,0.07058,0.00114541227162974
"brunner","balanced n, unequal SD","het",0.0301146298814844,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","10, 10, 10, 10",10,"F.P.",5,2,6.6,0.06684,0.00111689224547402,0.0681,0.00112660898274424,0.06466,0.00109980984174538
"brunner","balanced n, unequal SD","het",0.0301146298814844,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","20, 20, 20, 20",20,"normal",1,0,0,0.18742,0.00174524349934329,0.18374,0.00173193309570549,0.17592,0.00170277510904993
"brunner","balanced n, unequal SD","het",0.0301146298814844,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","20, 20, 20, 20",20,"F.P.",2,0,6,0.30418,0.00205744758183532,0.30194,0.00205315482319283,0.2918,0.00203299168714483
"brunner","balanced n, unequal SD","het",0.0301146298814844,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","20, 20, 20, 20",20,"F.P.",3,0.5,1,0.1547,0.0016172069131685,0.15246,0.00160758171425281,0.14614,0.00157976644096525
"brunner","balanced n, unequal SD","het",0.0301146298814844,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","20, 20, 20, 20",20,"F.P.",4,1,1.6,0.1102,0.00140039965724075,0.10788,0.00138738535093895,0.10294,0.00135899489623766
"brunner","balanced n, unequal SD","het",0.0301146298814844,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","20, 20, 20, 20",20,"F.P.",5,2,6.6,0.08356,0.0012375599088529,0.08238,0.00122958151905435,0.07832,0.00120154881382323
"brunner","balanced n, unequal SD","het",0.0301146298814844,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","30, 30, 30, 30",30,"normal",1,0,0,0.27054,0.00198669629485737,0.26464,0.00197284398977719,0.25522,0.001949783329501
"brunner","balanced n, unequal SD","het",0.0301146298814844,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","30, 30, 30, 30",30,"F.P.",2,0,6,0.45434,0.00222672478946097,0.45002,0.00222486853364418,0.43882,0.00221926567855225
"brunner","balanced n, unequal SD","het",0.0301146298814844,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","30, 30, 30, 30",30,"F.P.",3,0.5,1,0.22058,0.00185431638940069,0.21612,0.00184071804250407,0.20856,0.00181693547711524
"brunner","balanced n, unequal SD","het",0.0301146298814844,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","30, 30, 30, 30",30,"F.P.",4,1,1.6,0.1422,0.0015619165150545,0.1382,0.00154337785392949,0.13214,0.00151445713310083
"brunner","balanced n, unequal SD","het",0.0301146298814844,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","30, 30, 30, 30",30,"F.P.",5,2,6.6,0.10372,0.0013635406968624,0.10124,0.00134900305707585,0.09668,0.00132161248178125
"brunner","balanced n, unequal SD","het",0.0301146298814844,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","50, 50, 50, 50",50,"normal",1,0,0,0.44532,0.0022226565078752,0.43506,0.00221712785558253,0.4231,0.00220946323798338
"brunner","balanced n, unequal SD","het",0.0301146298814844,1,"0.00, 0.25, 0.50, 0.75","1.0000, 1.4142, 2.0000, 2.2361","50, 50, 50, 50",50,"F.P.",2,0,6,0.70218,0.00204510756489726,0.69646,0.00205622697385284,0.68714,0.00207354103118313
