"design","effect_size","group_mean_offsets","sd_per_group","n_vector","n_per_group","distribution","panel","skew","excess_kurtosis","rank_power","ats_h0p_power","ats_h0p_mc_se"
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","10, 10, 10, 10",10,"normal",1,0,0,0.23336,0.24122,0.00191328467092589
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","10, 10, 10, 10",10,"F.P.",2,0,6,0.36128,0.35706,0.00214274663177894
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","10, 10, 10, 10",10,"F.P.",3,0.5,1,0.25436,0.26044,0.00196270734649871
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","10, 10, 10, 10",10,"F.P.",4,1,1.6,0.27422,0.28342,0.00201540618040136
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","10, 10, 10, 10",10,"F.P.",5,2,6.6,0.42856,0.42632,0.00221165665328052
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","20, 20, 20, 20",20,"normal",1,0,0,0.48142,0.49248,0.0022358150621194
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","20, 20, 20, 20",20,"F.P.",2,0,6,0.69484,0.69612,0.00205687600793047
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","20, 20, 20, 20",20,"F.P.",3,0.5,1,0.52858,0.53422,0.00223082492186187
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","20, 20, 20, 20",20,"F.P.",4,1,1.6,0.56972,0.57062,0.00221365225634019
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","20, 20, 20, 20",20,"F.P.",5,2,6.6,0.78444,0.77754,0.00185995456073529
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","30, 30, 30, 30",30,"normal",1,0,0,0.6889,0.69124,0.00206604580007317
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","30, 30, 30, 30",30,"F.P.",2,0,6,0.87876,0.87778,0.00146480218186621
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","30, 30, 30, 30",30,"F.P.",3,0.5,1,0.73602,0.7398,0.00196212109718029
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","30, 30, 30, 30",30,"F.P.",4,1,1.6,0.7782,0.77918,0.00185503923193015
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","30, 30, 30, 30",30,"F.P.",5,2,6.6,0.93482,0.9328,0.00111967995427265
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","50, 50, 50, 50",50,"normal",1,0,0,0.90724,0.90806,0.00129218447908958
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","50, 50, 50, 50",50,"F.P.",2,0,6,0.98738,0.9872,0.000502715824298381
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","50, 50, 50, 50",50,"F.P.",3,0.5,1,0.93614,0.93506,0.00110202356054669
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","50, 50, 50, 50",50,"F.P.",4,1,1.6,0.95328,0.95214,0.000954666647579143
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","50, 50, 50, 50",50,"F.P.",5,2,6.6,0.9964,0.9962,0.000275156682637367
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","100, 100, 100, 100",100,"normal",1,0,0,0.99854,0.99824,0.000187451455049033
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","100, 100, 100, 100",100,"F.P.",2,0,6,0.99998,0.99996,2.82837055563941e-05
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","100, 100, 100, 100",100,"F.P.",3,0.5,1,0.99916,0.99908,0.000135584187868647
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","100, 100, 100, 100",100,"F.P.",4,1,1.6,0.99968,0.9998,6.32392283317844e-05
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","100, 100, 100, 100",100,"F.P.",5,2,6.6,1,1,0
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","200, 200, 200, 200",200,"normal",1,0,0,1,1,0
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","200, 200, 200, 200",200,"F.P.",2,0,6,1,1,0
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","200, 200, 200, 200",200,"F.P.",3,0.5,1,1,1,0
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","200, 200, 200, 200",200,"F.P.",4,1,1.6,1,1,0
"balanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","200, 200, 200, 200",200,"F.P.",5,2,6.6,1,1,0
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","5, 8, 12, 15",10,"normal",1,0,0,0.19606,0.21032,0.00182255588446555
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","5, 8, 12, 15",10,"F.P.",2,0,6,0.30544,0.30584,0.00206059163542901
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","5, 8, 12, 15",10,"F.P.",3,0.5,1,0.22394,0.22332,0.00186251538302372
"unbalanced n, equal SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0","5, 8, 12, 15",10,"F.P.",4,1,1.6,0.25016,0.22564,0.00186936668634059
