"design","mean_n_per_group","n_per_group","sd_per_group","distribution","panel","skew","excess_kurtosis","rank_null_true","rank_rejection","ps_kw_rejection","ps_kw_mc_se","ps_ats_rejection","ps_ats_mc_se"
"balanced n, equal SD",10,"10, 10, 10, 10","1.0, 1.0, 1.0, 1.0","normal",1,0,0,TRUE,0.0449,0.04536,0.000930617756116871,0.048,0.000955991631762538
"balanced n, equal SD",10,"10, 10, 10, 10","1.0, 1.0, 1.0, 1.0","F.P.",2,0,6,TRUE,0.04298,0.04536,0.000930617756116871,0.04878,0.000963332877047181
"balanced n, equal SD",10,"10, 10, 10, 10","1.0, 1.0, 1.0, 1.0","F.P.",3,0.5,1,FALSE,0.04556,0.04552,0.000932179484863296,0.04848,0.000960517460538849
"balanced n, equal SD",10,"10, 10, 10, 10","1.0, 1.0, 1.0, 1.0","F.P.",4,1,1.6,FALSE,0.04446,0.04512,0.00092826920233303,0.04828,0.000958634879398825
"balanced n, equal SD",10,"10, 10, 10, 10","1.0, 1.0, 1.0, 1.0","F.P.",5,2,6.6,FALSE,0.04476,0.04586,0.000935487684579546,0.04918,0.000967071120445647
"balanced n, unequal SD",10,"10, 10, 10, 10","1.0, 1.3, 1.7, 2.2","normal",1,0,0,TRUE,0.05168,0.05252,0.00099761364866365,0.053,0.00100190817942564
"balanced n, unequal SD",10,"10, 10, 10, 10","1.0, 1.3, 1.7, 2.2","F.P.",2,0,6,TRUE,0.04906,0.0483,0.00095882334139298,0.04996,0.000974309995843212
"balanced n, unequal SD",10,"10, 10, 10, 10","1.0, 1.3, 1.7, 2.2","F.P.",3,0.5,1,FALSE,0.05218,0.05104,0.000984224754819752,0.05238,0.000996356719252698
"balanced n, unequal SD",10,"10, 10, 10, 10","1.0, 1.3, 1.7, 2.2","F.P.",4,1,1.6,FALSE,0.06056,0.06224,0.00108042753019349,0.06292,0.00108591964343592
"balanced n, unequal SD",10,"10, 10, 10, 10","1.0, 1.3, 1.7, 2.2","F.P.",5,2,6.6,FALSE,0.09282,0.0926,0.00129634285588343,0.09188,0.00129180544665209
"unbalanced n, equal SD",10,"5, 8, 12, 15","1.0, 1.0, 1.0, 1.0","normal",1,0,0,TRUE,0.04332,0.05526,0.00102182515529811,0.05432,0.00101360088397752
"unbalanced n, equal SD",10,"5, 8, 12, 15","1.0, 1.0, 1.0, 1.0","F.P.",2,0,6,TRUE,0.04344,0.0562,0.00102996660140026,0.05648,0.00103237599352174
"unbalanced n, equal SD",10,"5, 8, 12, 15","1.0, 1.0, 1.0, 1.0","F.P.",3,0.5,1,FALSE,0.0438,0.05446,0.0010148311031891,0.05448,0.00101500669554442
"unbalanced n, equal SD",10,"5, 8, 12, 15","1.0, 1.0, 1.0, 1.0","F.P.",4,1,1.6,FALSE,0.04402,0.0542,0.00101254491258413,0.0549,0.00101868532923568
"unbalanced n, equal SD",10,"5, 8, 12, 15","1.0, 1.0, 1.0, 1.0","F.P.",5,2,6.6,FALSE,0.04302,0.05488,0.00101851053602798,0.05502,0.00101973329454323
"unbalanced n, larger n with larger SD",10,"5, 8, 12, 15","1.0, 1.3, 1.7, 2.2","normal",1,0,0,TRUE,0.02866,0.0319,0.000785905719536383,0.04316,0.000908814771006722
"unbalanced n, larger n with larger SD",10,"5, 8, 12, 15","1.0, 1.3, 1.7, 2.2","F.P.",2,0,6,TRUE,0.0306,0.0351,0.000823018711816445,0.045,0.000927092228421747
"unbalanced n, larger n with larger SD",10,"5, 8, 12, 15","1.0, 1.3, 1.7, 2.2","F.P.",3,0.5,1,FALSE,0.02968,0.03274,0.000795840340771942,0.04524,0.000929444375958024
"unbalanced n, larger n with larger SD",10,"5, 8, 12, 15","1.0, 1.3, 1.7, 2.2","F.P.",4,1,1.6,FALSE,0.03332,0.0379,0.000853974121387762,0.0494,0.000969119600462193
"unbalanced n, larger n with larger SD",10,"5, 8, 12, 15","1.0, 1.3, 1.7, 2.2","F.P.",5,2,6.6,FALSE,0.05332,0.05826,0.0010475282564208,0.0755,0.00118152232310693
"unbalanced n, larger n with smaller SD",10,"5, 8, 12, 15","2.2, 1.7, 1.3, 1.0","normal",1,0,0,TRUE,0.07828,0.10974,0.00139783498596937,0.07164,0.00115332311517632
"unbalanced n, larger n with smaller SD",10,"5, 8, 12, 15","2.2, 1.7, 1.3, 1.0","F.P.",2,0,6,TRUE,0.0693,0.09668,0.00132161248178125,0.0668,0.00111658192713298
"unbalanced n, larger n with smaller SD",10,"5, 8, 12, 15","2.2, 1.7, 1.3, 1.0","F.P.",3,0.5,1,FALSE,0.08124,0.10982,0.00139828157107215,0.07156,0.00115272864456471
"unbalanced n, larger n with smaller SD",10,"5, 8, 12, 15","2.2, 1.7, 1.3, 1.0","F.P.",4,1,1.6,FALSE,0.09146,0.12714,0.00148980146596787,0.0769,0.00119152331072455
"unbalanced n, larger n with smaller SD",10,"5, 8, 12, 15","2.2, 1.7, 1.3, 1.0","F.P.",5,2,6.6,FALSE,0.12664,0.1819,0.00172518051229429,0.0948,0.00131006076194961
"balanced n, equal SD",20,"20, 20, 20, 20","1.0, 1.0, 1.0, 1.0","normal",1,0,0,TRUE,0.04774,0.04872,0.00096277060196082,0.0507,0.000981116812617132
"balanced n, equal SD",20,"20, 20, 20, 20","1.0, 1.0, 1.0, 1.0","F.P.",2,0,6,TRUE,0.04694,0.04708,0.000947243090236081,0.04874,0.000962958071776752
"balanced n, equal SD",20,"20, 20, 20, 20","1.0, 1.0, 1.0, 1.0","F.P.",3,0.5,1,FALSE,0.0463,0.04952,0.00097023470974811,0.0514,0.000987502303794781
"balanced n, equal SD",20,"20, 20, 20, 20","1.0, 1.0, 1.0, 1.0","F.P.",4,1,1.6,FALSE,0.04878,0.04598,0.000936651905459013,0.04748,0.000951058879355006
"balanced n, equal SD",20,"20, 20, 20, 20","1.0, 1.0, 1.0, 1.0","F.P.",5,2,6.6,FALSE,0.04804,0.04746,0.000950868533499768,0.04906,0.000965951514311148
"balanced n, unequal SD",20,"20, 20, 20, 20","1.0, 1.3, 1.7, 2.2","normal",1,0,0,TRUE,0.05596,0.05186,0.000991670715509942,0.05076,0.000981666159139654
"balanced n, unequal SD",20,"20, 20, 20, 20","1.0, 1.3, 1.7, 2.2","F.P.",2,0,6,TRUE,0.05274,0.05182,0.000991309110217393,0.05172,0.000990404378019403
"balanced n, unequal SD",20,"20, 20, 20, 20","1.0, 1.3, 1.7, 2.2","F.P.",3,0.5,1,FALSE,0.05796,0.05878,0.0010519021969746,0.0574,0.0010402426639972
"balanced n, unequal SD",20,"20, 20, 20, 20","1.0, 1.3, 1.7, 2.2","F.P.",4,1,1.6,FALSE,0.07494,0.07196,0.00115569683221855,0.0703,0.00114331019412931
"balanced n, unequal SD",20,"20, 20, 20, 20","1.0, 1.3, 1.7, 2.2","F.P.",5,2,6.6,FALSE,0.1425,0.14812,0.00158858720629369,0.14294,0.00156529969271063
"unbalanced n, equal SD",20,"10, 16, 24, 30","1.0, 1.0, 1.0, 1.0","normal",1,0,0,TRUE,0.04506,0.05896,0.00105341082584147,0.05048,0.000979099275865323
"unbalanced n, equal SD",20,"10, 16, 24, 30","1.0, 1.0, 1.0, 1.0","F.P.",2,0,6,TRUE,0.04672,0.05782,0.00104380886756149,0.0501,0.000975602275520101
"unbalanced n, equal SD",20,"10, 16, 24, 30","1.0, 1.0, 1.0, 1.0","F.P.",3,0.5,1,FALSE,0.04946,0.05792,0.00104465567150138,0.04972,0.000972089724253888
"unbalanced n, equal SD",20,"10, 16, 24, 30","1.0, 1.0, 1.0, 1.0","F.P.",4,1,1.6,FALSE,0.04658,0.05754,0.00104143313179484,0.049,0.000965391112451321
"unbalanced n, equal SD",20,"10, 16, 24, 30","1.0, 1.0, 1.0, 1.0","F.P.",5,2,6.6,FALSE,0.04756,0.0586,0.00105039078442264,0.05054,0.000979650023222579
"unbalanced n, larger n with larger SD",20,"10, 16, 24, 30","1.0, 1.3, 1.7, 2.2","normal",1,0,0,TRUE,0.03028,0.03438,0.000814837598543415,0.04566,0.000933543404454233
"unbalanced n, larger n with larger SD",20,"10, 16, 24, 30","1.0, 1.3, 1.7, 2.2","F.P.",2,0,6,TRUE,0.03218,0.03768,0.000851589309467891,0.04722,0.000948580746167663
"unbalanced n, larger n with larger SD",20,"10, 16, 24, 30","1.0, 1.3, 1.7, 2.2","F.P.",3,0.5,1,FALSE,0.03388,0.03722,0.000846577481391987,0.048,0.000955991631762538
"unbalanced n, larger n with larger SD",20,"10, 16, 24, 30","1.0, 1.3, 1.7, 2.2","F.P.",4,1,1.6,FALSE,0.04448,0.04702,0.000946669103752732,0.06102,0.00107048175696739
"unbalanced n, larger n with larger SD",20,"10, 16, 24, 30","1.0, 1.3, 1.7, 2.2","F.P.",5,2,6.6,FALSE,0.09462,0.0973,0.00132538832045556,0.12698,0.00148900019879112
"unbalanced n, larger n with smaller SD",20,"10, 16, 24, 30","2.2, 1.7, 1.3, 1.0","normal",1,0,0,TRUE,0.0818,0.11482,0.00142573747653627,0.06002,0.00106223914068349
"unbalanced n, larger n with smaller SD",20,"10, 16, 24, 30","2.2, 1.7, 1.3, 1.0","F.P.",2,0,6,TRUE,0.07566,0.10216,0.00135442485505841,0.05742,0.00104041283729104
"unbalanced n, larger n with smaller SD",20,"10, 16, 24, 30","2.2, 1.7, 1.3, 1.0","F.P.",3,0.5,1,FALSE,0.08448,0.11962,0.00145128257482821,0.06304,0.00108688507580149
"unbalanced n, larger n with smaller SD",20,"10, 16, 24, 30","2.2, 1.7, 1.3, 1.0","F.P.",4,1,1.6,FALSE,0.10294,0.14736,0.00158521311122511,0.07328,0.00116541873676374
"unbalanced n, larger n with smaller SD",20,"10, 16, 24, 30","2.2, 1.7, 1.3, 1.0","F.P.",5,2,6.6,FALSE,0.17992,0.24954,0.00193530250038592,0.11258,0.00141354691184976
"balanced n, equal SD",30,"30, 30, 30, 30","1.0, 1.0, 1.0, 1.0","normal",1,0,0,TRUE,0.04664,0.0465,0.000941676696111781,0.04778,0.000953908502949837
"balanced n, equal SD",30,"30, 30, 30, 30","1.0, 1.0, 1.0, 1.0","F.P.",2,0,6,TRUE,0.0483,0.04964,0.000971348242393015,0.05066,0.000980750369869928
"balanced n, equal SD",30,"30, 30, 30, 30","1.0, 1.0, 1.0, 1.0","F.P.",3,0.5,1,FALSE,0.0504,0.04894,0.000964830310469152,0.05044,0.000978731897916891
