"design","mean_n_per_group","n_per_group","sd_per_group","distribution","panel","skew","excess_kurtosis","rank_null_true","rank_rejection","ats_h0p_rejection","ats_h0p_mc_se"
"balanced n, equal SD",10,"10, 10, 10, 10","1.0, 1.0, 1.0, 1.0","normal",1,0,0,TRUE,0.0449,0.04624,0.000939168381069124
"balanced n, equal SD",10,"10, 10, 10, 10","1.0, 1.0, 1.0, 1.0","F.P.",2,0,6,TRUE,0.04298,0.0477,0.000953149620993472
"balanced n, equal SD",10,"10, 10, 10, 10","1.0, 1.0, 1.0, 1.0","F.P.",3,0.5,1,FALSE,0.04556,0.04716,0.000948007746803791
"balanced n, equal SD",10,"10, 10, 10, 10","1.0, 1.0, 1.0, 1.0","F.P.",4,1,1.6,FALSE,0.04446,0.0482,0.000957880577107606
"balanced n, equal SD",10,"10, 10, 10, 10","1.0, 1.0, 1.0, 1.0","F.P.",5,2,6.6,FALSE,0.04476,0.0467,0.000943600657057847
"balanced n, unequal SD",10,"10, 10, 10, 10","1.0, 1.3, 1.7, 2.2","normal",1,0,0,TRUE,0.05168,0.04882,0.000963707503343208
"balanced n, unequal SD",10,"10, 10, 10, 10","1.0, 1.3, 1.7, 2.2","F.P.",2,0,6,TRUE,0.04906,0.04722,0.000948580746167663
"balanced n, unequal SD",10,"10, 10, 10, 10","1.0, 1.3, 1.7, 2.2","F.P.",3,0.5,1,FALSE,0.05218,0.04858,0.000961457056763327
"balanced n, unequal SD",10,"10, 10, 10, 10","1.0, 1.3, 1.7, 2.2","F.P.",4,1,1.6,FALSE,0.06056,0.056,0.00102824121683582
"balanced n, unequal SD",10,"10, 10, 10, 10","1.0, 1.3, 1.7, 2.2","F.P.",5,2,6.6,FALSE,0.09282,0.0862,0.00125514588793494
"unbalanced n, equal SD",10,"5, 8, 12, 15","1.0, 1.0, 1.0, 1.0","normal",1,0,0,TRUE,0.04332,0.06324,0.00108849163892058
"unbalanced n, equal SD",10,"5, 8, 12, 15","1.0, 1.0, 1.0, 1.0","F.P.",2,0,6,TRUE,0.04344,0.06442,0.0010979076791789
"unbalanced n, equal SD",10,"5, 8, 12, 15","1.0, 1.0, 1.0, 1.0","F.P.",3,0.5,1,FALSE,0.0438,0.0639,0.00109377136550561
