"sd_label","sd_per_group","sd_ratio","design","mean_n_per_group","n_per_group","route_rank_probability","route_mc_se","mean_resid_excess_kurtosis","sd_resid_excess_kurtosis"
"equal 1.0","1.0, 1.0, 1.0, 1.0",1,"balanced",10,"10, 10, 10, 10",0.0675000000000001,0.0125442965127583,-0.142365309150077,0.672505803149458
"equal 1.0","1.0, 1.0, 1.0, 1.0",1,"balanced",20,"20, 20, 20, 20",0.04,0.00979795897113271,-0.13346893361636,0.448472310510561
"equal 1.0","1.0, 1.0, 1.0, 1.0",1,"balanced",50,"50, 50, 50, 50",0.04,0.00979795897113271,-0.040265883829894,0.34076044874848
"equal 1.0","1.0, 1.0, 1.0, 1.0",1,"balanced",100,"100, 100, 100, 100",0.0625,0.0121030729568982,-0.0024031747000107,0.253016828861712
"equal 1.0","1.0, 1.0, 1.0, 1.0",1,"unbalanced, larger n larger SD",10,"5, 8, 12, 15",0.0575,0.0116397755562554,-0.152047022912294,0.645617365153065
"equal 1.0","1.0, 1.0, 1.0, 1.0",1,"unbalanced, larger n larger SD",20,"10, 16, 24, 30",0.0574999999999999,0.0116397755562554,-0.0405868931743064,0.508149865478283
"equal 1.0","1.0, 1.0, 1.0, 1.0",1,"unbalanced, larger n larger SD",50,"25, 40, 60, 75",0.0475,0.0106352891357029,-0.0655183874331177,0.305075552473041
"equal 1.0","1.0, 1.0, 1.0, 1.0",1,"unbalanced, larger n larger SD",100,"50, 80, 120, 150",0.04,0.00979795897113271,-0.0024540243815158,0.232971961417212
"equal 1.0","1.0, 1.0, 1.0, 1.0",1,"unbalanced, larger n smaller SD",10,"15, 12, 8, 5",0.0425,0.0100863459686846,-0.104869970668774,0.666944124654754
"equal 1.0","1.0, 1.0, 1.0, 1.0",1,"unbalanced, larger n smaller SD",20,"30, 24, 16, 10",0.05,0.0108972473588517,-0.0635980244713594,0.530645901067273
"equal 1.0","1.0, 1.0, 1.0, 1.0",1,"unbalanced, larger n smaller SD",50,"75, 60, 40, 25",0.0625,0.0121030729568982,0.00399978449237219,0.33324032170124
"equal 1.0","1.0, 1.0, 1.0, 1.0",1,"unbalanced, larger n smaller SD",100,"150, 120, 80, 50",0.06,0.0118743420870379,-0.0293590315640168,0.237686802879694
"mild 1:1.6","1.0, 1.2, 1.4, 1.6",1.6,"balanced",10,"10, 10, 10, 10",0.08,0.0135646599662505,0.117651722001782,0.903070832098289
"mild 1:1.6","1.0, 1.2, 1.4, 1.6",1.6,"balanced",20,"20, 20, 20, 20",0.075,0.0131695671910659,0.207256398966299,0.67131955512946
"mild 1:1.6","1.0, 1.2, 1.4, 1.6",1.6,"balanced",50,"50, 50, 50, 50",0.135,0.0170861786248418,0.311776338850457,0.49622643931857
"mild 1:1.6","1.0, 1.2, 1.4, 1.6",1.6,"balanced",100,"100, 100, 100, 100",0.145,0.0176050418914583,0.288578380361098,0.33284698543742
"mild 1:1.6","1.0, 1.2, 1.4, 1.6",1.6,"unbalanced, larger n larger SD",10,"5, 8, 12, 15",0.065,0.0123262930356211,0.0796844745563917,0.778777242628877
"mild 1:1.6","1.0, 1.2, 1.4, 1.6",1.6,"unbalanced, larger n larger SD",20,"10, 16, 24, 30",0.06,0.0118743420870379,0.12421338138832,0.60445597241999
"mild 1:1.6","1.0, 1.2, 1.4, 1.6",1.6,"unbalanced, larger n larger SD",50,"25, 40, 60, 75",0.0825,0.0137562485801908,0.19118572932865,0.427233987356746
"mild 1:1.6","1.0, 1.2, 1.4, 1.6",1.6,"unbalanced, larger n larger SD",100,"50, 80, 120, 150",0.115,0.0159510971409493,0.23779638883629,0.308467856779622
"mild 1:1.6","1.0, 1.2, 1.4, 1.6",1.6,"unbalanced, larger n smaller SD",10,"15, 12, 8, 5",0.05,0.0108972473588517,0.0411836592765031,0.740277995258269
"mild 1:1.6","1.0, 1.2, 1.4, 1.6",1.6,"unbalanced, larger n smaller SD",20,"30, 24, 16, 10",0.0975,0.0148318702461962,0.213842574528458,0.691442233959853
"mild 1:1.6","1.0, 1.2, 1.4, 1.6",1.6,"unbalanced, larger n smaller SD",50,"75, 60, 40, 25",0.125,0.0165359456941537,0.341956941335468,0.521853465445986
"mild 1:1.6","1.0, 1.2, 1.4, 1.6",1.6,"unbalanced, larger n smaller SD",100,"150, 120, 80, 50",0.175,0.0189983551919633,0.346313951241332,0.376035090618659
"published 1:2.2","1.0, 1.3, 1.7, 2.2",2.2,"balanced",10,"10, 10, 10, 10",0.1325,0.0169516776455901,0.673526633198274,1.22801437517639
"published 1:2.2","1.0, 1.3, 1.7, 2.2",2.2,"balanced",20,"20, 20, 20, 20",0.195,0.0198100353356575,0.663910464877572,0.825456800757866
"published 1:2.2","1.0, 1.3, 1.7, 2.2",2.2,"balanced",50,"50, 50, 50, 50",0.3975,0.0244690493276711,0.849788744326003,0.657445549596089
"published 1:2.2","1.0, 1.3, 1.7, 2.2",2.2,"balanced",100,"100, 100, 100, 100",0.6525,0.023808808769025,0.892264109609791,0.562002498770286
"published 1:2.2","1.0, 1.3, 1.7, 2.2",2.2,"unbalanced, larger n larger SD",10,"5, 8, 12, 15",0.115,0.0159510971409493,0.39789174471519,1.01138805315183
"published 1:2.2","1.0, 1.3, 1.7, 2.2",2.2,"unbalanced, larger n larger SD",20,"10, 16, 24, 30",0.135,0.0170861786248418,0.473539497553547,0.760532348624808
