"Distribution","$\bar n$","F","W","L","KW","SW","SW+L"
"normal",10,"0.225","0.205","0.229","0.196","0.207","0.230"
"normal",20,"0.446","0.421","0.447","0.413","0.423","0.448"
"normal",30,"0.640","0.620","0.640","0.610","0.622","0.641"
"normal",50,"0.873","0.863","0.872","0.853","0.863","0.872"
"normal",100,"0.996","0.995","0.996","0.994","0.995","0.996"
"normal",200,"1.000","1.000","1.000","1.000","1.000","1.000"
"skew 0, excess kurtosis 6",10,"0.249","0.261","0.248","0.305","0.295","0.307"
"skew 0, excess kurtosis 6",20,"0.468","0.494","0.470","0.617","0.607","0.610"
"skew 0, excess kurtosis 6",30,"0.645","0.667","0.647","0.817","0.812","0.813"
"skew 0, excess kurtosis 6",50,"0.870","0.876","0.870","0.970","0.969","0.970"
"skew 0, excess kurtosis 6",100,"0.994","0.994","0.994","1.000","1.000","1.000"
"skew 0, excess kurtosis 6",200,"1.000","1.000","1.000","1.000","1.000","1.000"
"skew 0.5, excess kurtosis 1",10,"0.228","0.237","0.234","0.224","0.240","0.245"
"skew 0.5, excess kurtosis 1",20,"0.453","0.458","0.457","0.463","0.471","0.477"
"skew 0.5, excess kurtosis 1",30,"0.645","0.640","0.647","0.660","0.661","0.668"
"skew 0.5, excess kurtosis 1",50,"0.876","0.868","0.876","0.890","0.888","0.892"
"skew 0.5, excess kurtosis 1",100,"0.995","0.994","0.995","0.997","0.997","0.997"
"skew 0.5, excess kurtosis 1",200,"1.000","1.000","1.000","1.000","1.000","1.000"
"skew 1, excess kurtosis 1.6",10,"0.230","0.275","0.240","0.250","0.275","0.266"
"skew 1, excess kurtosis 1.6",20,"0.460","0.481","0.466","0.506","0.512","0.514"
"skew 1, excess kurtosis 1.6",30,"0.649","0.650","0.652","0.701","0.701","0.702"
"skew 1, excess kurtosis 1.6",50,"0.874","0.867","0.875","0.913","0.913","0.913"
"skew 1, excess kurtosis 1.6",100,"0.995","0.994","0.995","0.998","0.998","0.998"
"skew 1, excess kurtosis 1.6",200,"1.000","1.000","1.000","1.000","1.000","1.000"
"skew 2, excess kurtosis 6.6",10,"0.247","0.366","0.274","0.400","0.404","0.403"
"skew 2, excess kurtosis 6.6",20,"0.483","0.554","0.501","0.721","0.721","0.721"
"skew 2, excess kurtosis 6.6",30,"0.665","0.695","0.677","0.889","0.889","0.889"
"skew 2, excess kurtosis 6.6",50,"0.874","0.875","0.878","0.987","0.987","0.987"
"skew 2, excess kurtosis 6.6",100,"0.995","0.993","0.994","1.000","1.000","1.000"
"skew 2, excess kurtosis 6.6",200,"1.000","1.000","1.000","1.000","1.000","1.000"
