"Distribution","$\bar n$","F","W","L","KW","SW","SW+L"
"normal",10,"0.204","0.171","0.206","0.183","0.175","0.208"
"normal",20,"0.396","0.365","0.397","0.372","0.368","0.399"
"normal",30,"0.576","0.551","0.576","0.549","0.553","0.578"
"normal",50,"0.823","0.811","0.823","0.800","0.812","0.822"
"normal",100,"0.989","0.989","0.989","0.986","0.988","0.989"
"skew 0, excess kurtosis 6",10,"0.223","0.190","0.221","0.279","0.248","0.278"
"skew 0, excess kurtosis 6",20,"0.418","0.408","0.420","0.562","0.549","0.557"
"skew 0, excess kurtosis 6",30,"0.589","0.589","0.593","0.769","0.763","0.764"
"skew 0, excess kurtosis 6",50,"0.825","0.826","0.826","0.950","0.950","0.950"
"skew 0, excess kurtosis 6",100,"0.987","0.987","0.987","1.000","1.000","1.000"
"skew 0.5, excess kurtosis 1",10,"0.202","0.185","0.206","0.199","0.195","0.216"
"skew 0.5, excess kurtosis 1",20,"0.398","0.390","0.402","0.413","0.410","0.424"
"skew 0.5, excess kurtosis 1",30,"0.577","0.573","0.580","0.602","0.601","0.608"
"skew 0.5, excess kurtosis 1",50,"0.823","0.825","0.825","0.847","0.847","0.848"
"skew 0.5, excess kurtosis 1",100,"0.990","0.990","0.990","0.993","0.993","0.993"
"skew 1, excess kurtosis 1.6",10,"0.204","0.216","0.211","0.222","0.233","0.237"
"skew 1, excess kurtosis 1.6",20,"0.403","0.418","0.412","0.455","0.461","0.462"
"skew 1, excess kurtosis 1.6",30,"0.585","0.603","0.593","0.654","0.655","0.655"
"skew 1, excess kurtosis 1.6",50,"0.826","0.839","0.830","0.887","0.887","0.887"
"skew 1, excess kurtosis 1.6",100,"0.990","0.992","0.991","0.996","0.996","0.996"
"skew 2, excess kurtosis 6.6",10,"0.216","0.288","0.241","0.356","0.360","0.360"
"skew 2, excess kurtosis 6.6",20,"0.415","0.489","0.440","0.688","0.688","0.688"
"skew 2, excess kurtosis 6.6",30,"0.597","0.660","0.617","0.877","0.877","0.877"
"skew 2, excess kurtosis 6.6",50,"0.830","0.868","0.842","0.987","0.987","0.987"
"skew 2, excess kurtosis 6.6",100,"0.989","0.993","0.991","1.000","1.000","1.000"
