"Alternative","Distribution","$n$","$\delta$","F","W","L","KW","SW","SW+L"
"increasing trend","normal",10,0,"0.050","0.050","0.052","0.044","0.051","0.054"
"increasing trend","normal",10,0.2,"0.056","0.056","0.059","0.051","0.057","0.061"
"increasing trend","normal",10,0.4,"0.077","0.075","0.079","0.070","0.076","0.081"
"increasing trend","normal",10,0.6,"0.116","0.110","0.120","0.103","0.112","0.122"
"increasing trend","normal",10,0.8,"0.177","0.166","0.180","0.157","0.168","0.182"
"increasing trend","normal",10,1,"0.259","0.239","0.262","0.234","0.242","0.264"
"increasing trend","normal",10,1.2,"0.362","0.335","0.365","0.327","0.338","0.367"
"increasing trend","normal",10,1.4,"0.475","0.440","0.477","0.436","0.444","0.479"
"increasing trend","normal",10,1.6,"0.602","0.561","0.603","0.556","0.565","0.605"
"increasing trend","normal",20,0,"0.050","0.049","0.051","0.047","0.050","0.052"
"increasing trend","normal",20,0.2,"0.064","0.063","0.065","0.060","0.065","0.066"
"increasing trend","normal",20,0.4,"0.115","0.112","0.116","0.106","0.114","0.117"
"increasing trend","normal",20,0.6,"0.201","0.193","0.203","0.188","0.195","0.205"
"increasing trend","normal",20,0.8,"0.339","0.329","0.342","0.319","0.331","0.343"
"increasing trend","normal",20,1,"0.515","0.497","0.516","0.484","0.499","0.518"
"increasing trend","normal",20,1.2,"0.689","0.669","0.689","0.657","0.671","0.690"
"increasing trend","normal",20,1.4,"0.826","0.810","0.827","0.799","0.811","0.827"
"increasing trend","normal",20,1.6,"0.920","0.908","0.920","0.902","0.909","0.920"
"increasing trend","normal",50,0,"0.049","0.049","0.049","0.047","0.049","0.050"
"increasing trend","normal",50,0.2,"0.090","0.089","0.090","0.088","0.090","0.091"
"increasing trend","normal",50,0.4,"0.228","0.225","0.229","0.217","0.226","0.229"
"increasing trend","normal",50,0.6,"0.480","0.473","0.481","0.456","0.473","0.481"
"increasing trend","normal",50,0.8,"0.749","0.741","0.749","0.723","0.742","0.749"
"increasing trend","normal",50,1,"0.922","0.918","0.922","0.908","0.918","0.922"
"increasing trend","normal",50,1.2,"0.986","0.984","0.985","0.980","0.984","0.985"
"increasing trend","normal",50,1.4,"0.998","0.998","0.998","0.997","0.998","0.998"
"increasing trend","normal",50,1.6,"1.000","1.000","1.000","1.000","1.000","1.000"
"increasing trend","normal",100,0,"0.052","0.052","0.052","0.051","0.052","0.052"
"increasing trend","normal",100,0.2,"0.135","0.133","0.135","0.129","0.134","0.135"
"increasing trend","normal",100,0.4,"0.435","0.431","0.435","0.412","0.430","0.434"
"increasing trend","normal",100,0.6,"0.809","0.807","0.809","0.789","0.807","0.809"
"increasing trend","normal",100,0.8,"0.976","0.975","0.976","0.969","0.975","0.976"
"increasing trend","normal",100,1,"0.998","0.998","0.998","0.998","0.998","0.998"
"increasing trend","normal",100,1.2,"1.000","1.000","1.000","1.000","1.000","1.000"
"increasing trend","normal",100,1.4,"1.000","1.000","1.000","1.000","1.000","1.000"
"increasing trend","normal",100,1.6,"1.000","1.000","1.000","1.000","1.000","1.000"
"increasing trend","skew 0, excess kurtosis 6",10,0,"0.044","0.035","0.043","0.044","0.043","0.051"
"increasing trend","skew 0, excess kurtosis 6",10,0.2,"0.054","0.046","0.053","0.056","0.056","0.064"
"increasing trend","skew 0, excess kurtosis 6",10,0.4,"0.077","0.071","0.078","0.087","0.085","0.094"
"increasing trend","skew 0, excess kurtosis 6",10,0.6,"0.125","0.121","0.127","0.150","0.145","0.156"
"increasing trend","skew 0, excess kurtosis 6",10,0.8,"0.195","0.198","0.200","0.239","0.233","0.245"
"increasing trend","skew 0, excess kurtosis 6",10,1,"0.286","0.297","0.294","0.357","0.346","0.359"
"increasing trend","skew 0, excess kurtosis 6",10,1.2,"0.402","0.418","0.412","0.493","0.476","0.488"
"increasing trend","skew 0, excess kurtosis 6",10,1.4,"0.522","0.539","0.532","0.627","0.608","0.620"
"increasing trend","skew 0, excess kurtosis 6",10,1.6,"0.637","0.656","0.646","0.741","0.721","0.733"
"increasing trend","skew 0, excess kurtosis 6",20,0,"0.048","0.042","0.048","0.049","0.051","0.053"
"increasing trend","skew 0, excess kurtosis 6",20,0.2,"0.061","0.056","0.061","0.069","0.071","0.074"
"increasing trend","skew 0, excess kurtosis 6",20,0.4,"0.114","0.114","0.115","0.147","0.148","0.151"
"increasing trend","skew 0, excess kurtosis 6",20,0.6,"0.215","0.223","0.219","0.291","0.290","0.293"
"increasing trend","skew 0, excess kurtosis 6",20,0.8,"0.359","0.375","0.364","0.488","0.482","0.483"
"increasing trend","skew 0, excess kurtosis 6",20,1,"0.536","0.552","0.541","0.691","0.679","0.683"
"increasing trend","skew 0, excess kurtosis 6",20,1.2,"0.701","0.720","0.706","0.848","0.837","0.840"
"increasing trend","skew 0, excess kurtosis 6",20,1.4,"0.827","0.840","0.831","0.937","0.928","0.930"
"increasing trend","skew 0, excess kurtosis 6",20,1.6,"0.911","0.918","0.913","0.978","0.973","0.974"
"increasing trend","skew 0, excess kurtosis 6",50,0,"0.047","0.045","0.047","0.047","0.048","0.048"
"increasing trend","skew 0, excess kurtosis 6",50,0.2,"0.089","0.089","0.089","0.112","0.112","0.112"
"increasing trend","skew 0, excess kurtosis 6",50,0.4,"0.231","0.241","0.233","0.339","0.339","0.339"
"increasing trend","skew 0, excess kurtosis 6",50,0.6,"0.495","0.506","0.497","0.684","0.684","0.684"
"increasing trend","skew 0, excess kurtosis 6",50,0.8,"0.755","0.767","0.758","0.911","0.910","0.910"
"increasing trend","skew 0, excess kurtosis 6",50,1,"0.916","0.920","0.917","0.986","0.986","0.986"
"increasing trend","skew 0, excess kurtosis 6",50,1.2,"0.980","0.980","0.981","0.999","0.999","0.999"
"increasing trend","skew 0, excess kurtosis 6",50,1.4,"0.997","0.997","0.997","1.000","1.000","1.000"
"increasing trend","skew 0, excess kurtosis 6",50,1.6,"1.000","1.000","1.000","1.000","1.000","1.000"
"increasing trend","skew 0, excess kurtosis 6",100,0,"0.051","0.049","0.051","0.051","0.051","0.051"
"increasing trend","skew 0, excess kurtosis 6",100,0.2,"0.135","0.137","0.135","0.185","0.185","0.185"
"increasing trend","skew 0, excess kurtosis 6",100,0.4,"0.444","0.449","0.445","0.637","0.637","0.637"
"increasing trend","skew 0, excess kurtosis 6",100,0.6,"0.810","0.814","0.811","0.949","0.949","0.949"
"increasing trend","skew 0, excess kurtosis 6",100,0.8,"0.972","0.973","0.972","0.998","0.998","0.998"
"increasing trend","skew 0, excess kurtosis 6",100,1,"0.998","0.998","0.998","1.000","1.000","1.000"
"increasing trend","skew 0, excess kurtosis 6",100,1.2,"1.000","1.000","1.000","1.000","1.000","1.000"
"increasing trend","skew 0, excess kurtosis 6",100,1.4,"1.000","1.000","1.000","1.000","1.000","1.000"
"increasing trend","skew 0, excess kurtosis 6",100,1.6,"1.000","1.000","1.000","1.000","1.000","1.000"
"increasing trend","skew 0.5, excess kurtosis 1",10,0,"0.050","0.050","0.051","0.047","0.051","0.055"
"increasing trend","skew 0.5, excess kurtosis 1",10,0.2,"0.058","0.055","0.060","0.052","0.058","0.063"
"increasing trend","skew 0.5, excess kurtosis 1",10,0.4,"0.078","0.075","0.081","0.073","0.079","0.085"
"increasing trend","skew 0.5, excess kurtosis 1",10,0.6,"0.117","0.113","0.119","0.111","0.118","0.126"
"increasing trend","skew 0.5, excess kurtosis 1",10,0.8,"0.177","0.171","0.181","0.169","0.178","0.190"
"increasing trend","skew 0.5, excess kurtosis 1",10,1,"0.262","0.251","0.267","0.253","0.261","0.278"
"increasing trend","skew 0.5, excess kurtosis 1",10,1.2,"0.370","0.352","0.375","0.361","0.366","0.390"
"increasing trend","skew 0.5, excess kurtosis 1",10,1.4,"0.490","0.464","0.494","0.482","0.481","0.511"
"increasing trend","skew 0.5, excess kurtosis 1",10,1.6,"0.612","0.584","0.615","0.604","0.601","0.631"
"increasing trend","skew 0.5, excess kurtosis 1",20,0,"0.050","0.050","0.051","0.048","0.053","0.054"
"increasing trend","skew 0.5, excess kurtosis 1",20,0.2,"0.063","0.063","0.064","0.061","0.066","0.068"
