"scenario","effect_size","group_mean_offsets","distribution","skew","gamma_shape","excess_kurtosis","n_per_group","groups","fisher_power","fisher_mc_se","welch_power","welch_mc_se","mean_power","mean_mc_se","rank_power","rank_mc_se","sw_power","sw_mc_se","gate_power","gate_mc_se","sw_route_welch_probability","sw_route_welch_mc_se","sw_route_rank_probability","sw_route_rank_mc_se","route_rank_probability","route_rank_mc_se","route_fisher_probability","route_fisher_mc_se","route_welch_probability","route_welch_mc_se","mean_route_fisher_probability","mean_route_fisher_mc_se","mean_route_welch_probability","mean_route_welch_mc_se","fisher_selected_reject_probability","fisher_selected_reject_mc_se","welch_selected_reject_probability","welch_selected_reject_mc_se","levene_reject_probability","levene_reject_mc_se","skew_label","n_label"
"four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","normal",0,NA,0,10,4,0.25884,0.00195878459458921,0.23912,0.00190757241330441,0.26216,0.00196688654680437,0.23252,0.00188920326910579,0.2425,0.00191673550601015,0.26478,0.00197317790176152,0.95214,0.000954666647579143,0.04786,0.000954666647579143,0.04786,0.000954666647579143,0.88736,0.00141387573994322,0.06478,0.00110075929793938,0.933,0.00111813237141226,0.067,0.00111813237141226,0.24074,0.00191198458361986,0.02142,0.000647474842754528,0.067,0.00111813237141226,"Normal(mu=0, sigma^2=1)
skew=0, excess kurtosis=0","n = 10"
"four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","standardised Gamma",0.5,16,0.375,10,4,0.2591,0.00195942435424285,0.2441,0.00192101634558376,0.26266,0.00196809412579785,0.2414,0.00191377135520417,0.25254,0.00194300565310552,0.27136,0.00198858618319649,0.84836,0.00160402811945427,0.15164,0.00160402811945427,0.15164,0.00160402811945427,0.78022,0.00185190038392998,0.06814,0.00112691561707166,0.92338,0.00118953247622753,0.07662,0.00118953247622753,0.2373,0.00190257041919609,0.02536,0.000703091322660151,0.07662,0.00118953247622753,"standardised Gamma(α=16, θ=1)
skew=0.5, excess kurtosis=0.375","n = 10"
"four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","standardised Gamma",1,4,1.5,10,4,0.26516,0.00197408294861184,0.25746,0.00195537386911046,0.2686,0.00198219090907006,0.27378,0.00199411389644624,0.28308,0.00201467473106703,0.29552,0.00204052899807868,0.54996,0.00222487751752765,0.45004,0.00222487751752765,0.45004,0.00222487751752765,0.47634,0.00223356309246012,0.07362,0.00116790492421258,0.88744,0.00141343727416536,0.11256,0.00141343727416536,0.22512,0.00186783824567332,0.04348,0.000912025104917622,0.11256,0.00141343727416536,"standardised Gamma(α=4, θ=1)
skew=1, excess kurtosis=1.5","n = 10"
"four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","standardised Gamma",2,1,6,10,4,0.29166,0.00203270482067614,0.31374,0.00207512511622793,0.3007,0.00205075356881318,0.45776,0.00222807442604595,0.45848,0.00222834507920115,0.46024,0.0022289869555473,0.07424,0.001172419911124,0.92576,0.001172419911124,0.92576,0.001172419911124,0.04096,0.000886366497561816,0.03328,0.000802152623881515,0.76368,0.00189985713989237,0.23632,0.00189985713989237,0.1894,0.00175229928950508,0.1113,0.00140650140419411,0.23632,0.00189985713989237,"standardised Gamma(α=1, θ=1)
skew=2, excess kurtosis=6","n = 10"
"four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","normal",0,NA,0,20,4,0.51282,0.00223533285038269,0.49486,0.00223594982233502,0.51398,0.00223519377057113,0.48154,0.00223454348089269,0.49704,0.00223602879409009,0.515,0.00223506152040609,0.95108,0.000964643287438419,0.04892,0.000964643287438419,0.04892,0.000964643287438419,0.89702,0.00135922860181796,0.05406,0.00101131119246254,0.94372,0.00103065572913558,0.05628,0.00103065572913558,0.48414,0.00223494277510633,0.02984,0.000760914901943706,0.05628,0.00103065572913558,"Normal(mu=0, sigma^2=1)
skew=0, excess kurtosis=0","n = 20"
"four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","standardised Gamma",0.5,16,0.375,20,4,0.5188,0.00223448678671412,0.50172,0.00223605474709364,0.52012,0.00223425685900256,0.50948,0.00223566602872612,0.51864,0.00223451359539386,0.5327,0.00223128084292408,0.69262,0.00206348024269679,0.30738,0.00206348024269679,0.30738,0.00206348024269679,0.64366,0.00214178338960783,0.04896,0.000965017288964296,0.93318,0.00111673710066425,0.06682,0.00111673710066425,0.4823,0.00223466646280826,0.03782,0.00085310781968049,0.06682,0.00111673710066425,"standardised Gamma(α=16, θ=1)
skew=0.5, excess kurtosis=0.375","n = 20"
"four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","standardised Gamma",1,4,1.5,20,4,0.52246,0.00223381086218149,0.5148,0.00223508818617969,0.52468,0.00223334232754408,0.5678,0.00221541490470747,0.5719,0.00221282800958412,0.57504,0.00221074194966305,0.15964,0.00163801752371579,0.84036,0.00163801752371579,0.84036,0.00163801752371579,0.13542,0.00153023804422711,0.02422,0.000687508423221127,0.89666,0.00136132908879521,0.10334,0.00136132908879521,0.46228,0.00222969595057263,0.0624,0.00108172306992132,0.10334,0.00136132908879521,"standardised Gamma(α=4, θ=1)
skew=1, excess kurtosis=1.5","n = 20"
"four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","standardised Gamma",2,1,6,20,4,0.53804,0.00222958721919552,0.5521,0.0022238956360405,0.54574,0.00222669195175264,0.81626,0.00173193309570549,0.81628,0.00173186004977308,0.81626,0.00173193309570549,0.00038,8.71614134809664e-05,0.99962,8.71614134809718e-05,0.99962,8.71614134809718e-05,0.00012,4.89868553797853e-05,0.00026,7.21016504665462e-05,0.77896,0.00185570104488843,0.22104,0.00185570104488843,0.39698,0.00218808994147864,0.14876,0.00159141737077361,0.22104,0.00185570104488843,"standardised Gamma(α=1, θ=1)
skew=2, excess kurtosis=6","n = 20"
"four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","normal",0,NA,0,50,4,0.92258,0.00119520829649062,0.9186,0.00122289852399944,0.92216,0.00119817306262493,0.90798,0.00129268959615215,0.91832,0.00122481327229909,0.92176,0.00120098711400248,0.94982,0.000976339772825014,0.05018,0.000976339772825014,0.05018,0.000976339772825014,0.89856,0.00135018462737509,0.05126,0.000986229308021213,0.94656,0.00100582470043244,0.05344,0.00100582470043244,0.87298,0.00148920058823518,0.04918,0.000967071120445647,0.05344,0.00100582470043244,"Normal(mu=0, sigma^2=1)
skew=0, excess kurtosis=0","n = 50"
"four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","standardised Gamma",0.5,16,0.375,50,4,0.92226,0.00119746809894878,0.91892,0.00122070498974978,0.92242,0.00119633894528265,0.92106,0.00120588951732735,0.925,0.00117792189893897,0.92592,0.00117125704779096,0.3025,0.00205423343366814,0.6975,0.00205423343366814,0.6975,0.00205423343366814,0.28172,0.00201173478172447,0.02078,0.000637937169319989,0.93676,0.00108849163892057,0.06324,0.00108849163892058,0.86446,0.00153080964459988,0.05796,0.00104499414735203,0.06324,0.00108849163892058,"standardised Gamma(α=16, θ=1)
skew=0.5, excess kurtosis=0.375","n = 50"
